Series ID,Year,Period,Label,Value
SMS19000000000000001,1990,M01,1990 Jan,1216.5
SMS19000000000000001,1990,M02,1990 Feb,1222.1
SMS19000000000000001,1990,M03,1990 Mar,1219.8
SMS19000000000000001,1990,M04,1990 Apr,1220.9
SMS19000000000000001,1990,M05,1990 May,1222.4
SMS19000000000000001,1990,M06,1990 Jun,1222.0
SMS19000000000000001,1990,M07,1990 Jul,1230.4
SMS19000000000000001,1990,M08,1990 Aug,1230.1
SMS19000000000000001,1990,M09,1990 Sep,1235.2
SMS19000000000000001,1990,M10,1990 Oct,1233.3
SMS19000000000000001,1990,M11,1990 Nov,1233.7
SMS19000000000000001,1990,M12,1990 Dec,1233.2
SMS19000000000000001,1991,M01,1991 Jan,1233.8
SMS19000000000000001,1991,M02,1991 Feb,1233.0
SMS19000000000000001,1991,M03,1991 Mar,1233.6
SMS19000000000000001,1991,M04,1991 Apr,1235.5
SMS19000000000000001,1991,M05,1991 May,1235.8
SMS19000000000000001,1991,M06,1991 Jun,1237.4
SMS19000000000000001,1991,M07,1991 Jul,1242.4
SMS19000000000000001,1991,M08,1991 Aug,1240.9
SMS19000000000000001,1991,M09,1991 Sep,1242.7
SMS19000000000000001,1991,M10,1991 Oct,1240.9
SMS19000000000000001,1991,M11,1991 Nov,1239.6
SMS19000000000000001,1991,M12,1991 Dec,1242.1
SMS19000000000000001,1992,M01,1992 Jan,1243.8
SMS19000000000000001,1992,M02,1992 Feb,1248.1
SMS19000000000000001,1992,M03,1992 Mar,1248.7
SMS19000000000000001,1992,M04,1992 Apr,1250.3
SMS19000000000000001,1992,M05,1992 May,1252.5
SMS19000000000000001,1992,M06,1992 Jun,1252.8
SMS19000000000000001,1992,M07,1992 Jul,1252.5
SMS19000000000000001,1992,M08,1992 Aug,1253.0
SMS19000000000000001,1992,M09,1992 Sep,1253.3
SMS19000000000000001,1992,M10,1992 Oct,1255.5
SMS19000000000000001,1992,M11,1992 Nov,1259.1
SMS19000000000000001,1992,M12,1992 Dec,1260.1
SMS19000000000000001,1993,M01,1993 Jan,1262.5
SMS19000000000000001,1993,M02,1993 Feb,1265.4
SMS19000000000000001,1993,M03,1993 Mar,1265.8
SMS19000000000000001,1993,M04,1993 Apr,1270.8
SMS19000000000000001,1993,M05,1993 May,1275.6
SMS19000000000000001,1993,M06,1993 Jun,1279.2
SMS19000000000000001,1993,M07,1993 Jul,1278.6
SMS19000000000000001,1993,M08,1993 Aug,1281.6
SMS19000000000000001,1993,M09,1993 Sep,1286.2
SMS19000000000000001,1993,M10,1993 Oct,1291.3
SMS19000000000000001,1993,M11,1993 Nov,1292.6
SMS19000000000000001,1993,M12,1993 Dec,1294.6
SMS19000000000000001,1994,M01,1994 Jan,1297.0
SMS19000000000000001,1994,M02,1994 Feb,1298.0
SMS19000000000000001,1994,M03,1994 Mar,1303.9
SMS19000000000000001,1994,M04,1994 Apr,1312.7
SMS19000000000000001,1994,M05,1994 May,1316.0
SMS19000000000000001,1994,M06,1994 Jun,1325.9
SMS19000000000000001,1994,M07,1994 Jul,1323.8
SMS19000000000000001,1994,M08,1994 Aug,1327.5
SMS19000000000000001,1994,M09,1994 Sep,1331.4
SMS19000000000000001,1994,M10,1994 Oct,1330.5
SMS19000000000000001,1994,M11,1994 Nov,1339.1
SMS19000000000000001,1994,M12,1994 Dec,1339.6
SMS19000000000000001,1995,M01,1995 Jan,1346.1
SMS19000000000000001,1995,M02,1995 Feb,1350.7
SMS19000000000000001,1995,M03,1995 Mar,1354.4
SMS19000000000000001,1995,M04,1995 Apr,1352.7
SMS19000000000000001,1995,M05,1995 May,1352.0
SMS19000000000000001,1995,M06,1995 Jun,1356.7
SMS19000000000000001,1995,M07,1995 Jul,1357.7
SMS19000000000000001,1995,M08,1995 Aug,1362.3
SMS19000000000000001,1995,M09,1995 Sep,1363.8
SMS19000000000000001,1995,M10,1995 Oct,1367.2
SMS19000000000000001,1995,M11,1995 Nov,1370.6
SMS19000000000000001,1995,M12,1995 Dec,1374.4
SMS19000000000000001,1996,M01,1996 Jan,1377.6
SMS19000000000000001,1996,M02,1996 Feb,1375.2
SMS19000000000000001,1996,M03,1996 Mar,1380.0
SMS19000000000000001,1996,M04,1996 Apr,1383.0
SMS19000000000000001,1996,M05,1996 May,1380.2
SMS19000000000000001,1996,M06,1996 Jun,1380.1
SMS19000000000000001,1996,M07,1996 Jul,1383.1
SMS19000000000000001,1996,M08,1996 Aug,1387.8
SMS19000000000000001,1996,M09,1996 Sep,1384.3
SMS19000000000000001,1996,M10,1996 Oct,1392.0
SMS19000000000000001,1996,M11,1996 Nov,1393.7
SMS19000000000000001,1996,M12,1996 Dec,1394.3
SMS19000000000000001,1997,M01,1997 Jan,1394.8
SMS19000000000000001,1997,M02,1997 Feb,1395.6
SMS19000000000000001,1997,M03,1997 Mar,1397.0
SMS19000000000000001,1997,M04,1997 Apr,1400.1
SMS19000000000000001,1997,M05,1997 May,1405.3
SMS19000000000000001,1997,M06,1997 Jun,1407.2
SMS19000000000000001,1997,M07,1997 Jul,1410.2
SMS19000000000000001,1997,M08,1997 Aug,1409.3
SMS19000000000000001,1997,M09,1997 Sep,1412.4
SMS19000000000000001,1997,M10,1997 Oct,1418.1
SMS19000000000000001,1997,M11,1997 Nov,1419.9
SMS19000000000000001,1997,M12,1997 Dec,1425.1
SMS19000000000000001,1998,M01,1998 Jan,1428.9
SMS19000000000000001,1998,M02,1998 Feb,1433.0
SMS19000000000000001,1998,M03,1998 Mar,1431.9
