Series ID,Year,Period,Label,Value
SMS17000000000000001,1990,M01,1990 Jan,5270.1
SMS17000000000000001,1990,M02,1990 Feb,5279.1
SMS17000000000000001,1990,M03,1990 Mar,5291.3
SMS17000000000000001,1990,M04,1990 Apr,5282.1
SMS17000000000000001,1990,M05,1990 May,5289.6
SMS17000000000000001,1990,M06,1990 Jun,5299.2
SMS17000000000000001,1990,M07,1990 Jul,5303.3
SMS17000000000000001,1990,M08,1990 Aug,5308.4
SMS17000000000000001,1990,M09,1990 Sep,5297.8
SMS17000000000000001,1990,M10,1990 Oct,5279.7
SMS17000000000000001,1990,M11,1990 Nov,5273.7
SMS17000000000000001,1990,M12,1990 Dec,5270.2
SMS17000000000000001,1991,M01,1991 Jan,5276.5
SMS17000000000000001,1991,M02,1991 Feb,5257.7
SMS17000000000000001,1991,M03,1991 Mar,5254.9
SMS17000000000000001,1991,M04,1991 Apr,5254.8
SMS17000000000000001,1991,M05,1991 May,5241.3
SMS17000000000000001,1991,M06,1991 Jun,5232.0
SMS17000000000000001,1991,M07,1991 Jul,5219.3
SMS17000000000000001,1991,M08,1991 Aug,5205.9
SMS17000000000000001,1991,M09,1991 Sep,5213.9
SMS17000000000000001,1991,M10,1991 Oct,5217.1
SMS17000000000000001,1991,M11,1991 Nov,5212.9
SMS17000000000000001,1991,M12,1991 Dec,5203.4
SMS17000000000000001,1992,M01,1992 Jan,5213.1
SMS17000000000000001,1992,M02,1992 Feb,5210.3
SMS17000000000000001,1992,M03,1992 Mar,5207.5
SMS17000000000000001,1992,M04,1992 Apr,5207.8
SMS17000000000000001,1992,M05,1992 May,5221.6
SMS17000000000000001,1992,M06,1992 Jun,5227.8
SMS17000000000000001,1992,M07,1992 Jul,5234.5
SMS17000000000000001,1992,M08,1992 Aug,5242.5
SMS17000000000000001,1992,M09,1992 Sep,5246.3
SMS17000000000000001,1992,M10,1992 Oct,5256.6
SMS17000000000000001,1992,M11,1992 Nov,5270.1
SMS17000000000000001,1992,M12,1992 Dec,5271.3
SMS17000000000000001,1993,M01,1993 Jan,5288.0
SMS17000000000000001,1993,M02,1993 Feb,5295.6
SMS17000000000000001,1993,M03,1993 Mar,5290.0
SMS17000000000000001,1993,M04,1993 Apr,5311.2
SMS17000000000000001,1993,M05,1993 May,5321.0
SMS17000000000000001,1993,M06,1993 Jun,5318.9
SMS17000000000000001,1993,M07,1993 Jul,5320.9
SMS17000000000000001,1993,M08,1993 Aug,5333.8
SMS17000000000000001,1993,M09,1993 Sep,5343.1
SMS17000000000000001,1993,M10,1993 Oct,5372.5
SMS17000000000000001,1993,M11,1993 Nov,5382.8
SMS17000000000000001,1993,M12,1993 Dec,5397.3
SMS17000000000000001,1994,M01,1994 Jan,5393.2
SMS17000000000000001,1994,M02,1994 Feb,5402.2
SMS17000000000000001,1994,M03,1994 Mar,5427.9
SMS17000000000000001,1994,M04,1994 Apr,5440.2
SMS17000000000000001,1994,M05,1994 May,5456.9
SMS17000000000000001,1994,M06,1994 Jun,5469.2
SMS17000000000000001,1994,M07,1994 Jul,5468.6
SMS17000000000000001,1994,M08,1994 Aug,5480.6
SMS17000000000000001,1994,M09,1994 Sep,5502.8
SMS17000000000000001,1994,M10,1994 Oct,5486.9
SMS17000000000000001,1994,M11,1994 Nov,5505.7
SMS17000000000000001,1994,M12,1994 Dec,5514.3
SMS17000000000000001,1995,M01,1995 Jan,5551.5
SMS17000000000000001,1995,M02,1995 Feb,5569.7
SMS17000000000000001,1995,M03,1995 Mar,5583.9
SMS17000000000000001,1995,M04,1995 Apr,5580.7
SMS17000000000000001,1995,M05,1995 May,5578.4
SMS17000000000000001,1995,M06,1995 Jun,5595.6
SMS17000000000000001,1995,M07,1995 Jul,5563.8
SMS17000000000000001,1995,M08,1995 Aug,5577.9
SMS17000000000000001,1995,M09,1995 Sep,5631.6
SMS17000000000000001,1995,M10,1995 Oct,5612.7
SMS17000000000000001,1995,M11,1995 Nov,5619.7
SMS17000000000000001,1995,M12,1995 Dec,5632.1
SMS17000000000000001,1996,M01,1996 Jan,5644.6
SMS17000000000000001,1996,M02,1996 Feb,5647.3
SMS17000000000000001,1996,M03,1996 Mar,5655.2
SMS17000000000000001,1996,M04,1996 Apr,5658.0
SMS17000000000000001,1996,M05,1996 May,5662.7
SMS17000000000000001,1996,M06,1996 Jun,5682.9
SMS17000000000000001,1996,M07,1996 Jul,5680.0
SMS17000000000000001,1996,M08,1996 Aug,5693.5
SMS17000000000000001,1996,M09,1996 Sep,5688.7
SMS17000000000000001,1996,M10,1996 Oct,5702.8
SMS17000000000000001,1996,M11,1996 Nov,5722.0
SMS17000000000000001,1996,M12,1996 Dec,5722.5
SMS17000000000000001,1997,M01,1997 Jan,5726.1
SMS17000000000000001,1997,M02,1997 Feb,5727.7
SMS17000000000000001,1997,M03,1997 Mar,5739.8
SMS17000000000000001,1997,M04,1997 Apr,5740.4
SMS17000000000000001,1997,M05,1997 May,5760.9
SMS17000000000000001,1997,M06,1997 Jun,5767.1
SMS17000000000000001,1997,M07,1997 Jul,5760.1
SMS17000000000000001,1997,M08,1997 Aug,5757.7
SMS17000000000000001,1997,M09,1997 Sep,5773.3
SMS17000000000000001,1997,M10,1997 Oct,5784.3
SMS17000000000000001,1997,M11,1997 Nov,5812.5
SMS17000000000000001,1997,M12,1997 Dec,5827.4
SMS17000000000000001,1998,M01,1998 Jan,5846.6
SMS17000000000000001,1998,M02,1998 Feb,5849.8
SMS17000000000000001,1998,M03,1998 Mar,5848.2
SMS17000000000000001,1998,M04,1998 Apr,5860.4
SMS17000000000000001,1998,M05,1998 May,5880.7
SMS17000000000000001,1998,M06,1998 Jun,5885.7
SMS17000000000000001,1998,M07,1998 Jul,5904.5
SMS17000000000000001,1998,M08,1998 Aug,5911.4
SMS17000000000000001,1998,M09,1998 Sep,5927.8
SMS17000000000000001,1998,M10,1998 Oct,5921.1
SMS17000000000000001,1998,M11,1998 Nov,5934.7
SMS17000000000000001,1998,M12,1998 Dec,5943.8
SMS17000000000000001,1999,M01,1999 Jan,5912.0
SMS17000000000000001,1999,M02,1999 Feb,5930.6
SMS17000000000000001,1999,M03,1999 Mar,5934.2
SMS17000000000000001,1999,M04,1999 Apr,5946.9
SMS17000000000000001,1999,M05,1999 May,5944.8
SMS17000000000000001,1999,M06,1999 Jun,5958.0
SMS17000000000000001,1999,M07,1999 Jul,5958.1
SMS17000000000000001,1999,M08,1999 Aug,5961.3
SMS17000000000000001,1999,M09,1999 Sep,5957.8
SMS17000000000000001,1999,M10,1999 Oct,5985.9
SMS17000000000000001,1999,M11,1999 Nov,5991.3
SMS17000000000000001,1999,M12,1999 Dec,6004.9
SMS17000000000000001,2000,M01,2000 Jan,6011.5
SMS17000000000000001,2000,M02,2000 Feb,6018.5
SMS17000000000000001,2000,M03,2000 Mar,6037.2
SMS17000000000000001,2000,M04,2000 Apr,6042.8
SMS17000000000000001,2000,M05,2000 May,6046.7
SMS17000000000000001,2000,M06,2000 Jun,6056.7
SMS17000000000000001,2000,M07,2000 Jul,6041.5
SMS17000000000000001,2000,M08,2000 Aug,6054.5
SMS17000000000000001,2000,M09,2000 Sep,6055.4
SMS17000000000000001,2000,M10,2000 Oct,6050.5
SMS17000000000000001,2000,M11,2000 Nov,6055.1
SMS17000000000000001,2000,M12,2000 Dec,6043.6
SMS17000000000000001,2001,M01,2001 Jan,6041.8
SMS17000000000000001,2001,M02,2001 Feb,6045.7
SMS17000000000000001,2001,M03,2001 Mar,6044.0
SMS17000000000000001,2001,M04,2001 Apr,6032.8
SMS17000000000000001,2001,M05,2001 May,6028.9
SMS17000000000000001,2001,M06,2001 Jun,6025.0
SMS17000000000000001,2001,M07,2001 Jul,5991.7
SMS17000000000000001,2001,M08,2001 Aug,5977.0
SMS17000000000000001,2001,M09,2001 Sep,5960.3
SMS17000000000000001,2001,M10,2001 Oct,5933.9
SMS17000000000000001,2001,M11,2001 Nov,5919.0
SMS17000000000000001,2001,M12,2001 Dec,5913.3
SMS17000000000000001,2002,M01,2002 Jan,5912.8
SMS17000000000000001,2002,M02,2002 Feb,5900.1
SMS17000000000000001,2002,M03,2002 Mar,5891.3
SMS17000000000000001,2002,M04,2002 Apr,5892.7
SMS17000000000000001,2002,M05,2002 May,5886.2
SMS17000000000000001,2002,M06,2002 Jun,5885.4
SMS17000000000000001,2002,M07,2002 Jul,5873.1
SMS17000000000000001,2002,M08,2002 Aug,5875.0
SMS17000000000000001,2002,M09,2002 Sep,5870.2
SMS17000000000000001,2002,M10,2002 Oct,5872.4
SMS17000000000000001,2002,M11,2002 Nov,5871.1
SMS17000000000000001,2002,M12,2002 Dec,5860.5
SMS17000000000000001,2003,M01,2003 Jan,5847.1
SMS17000000000000001,2003,M02,2003 Feb,5832.1
SMS17000000000000001,2003,M03,2003 Mar,5818.1
SMS17000000000000001,2003,M04,2003 Apr,5815.4
SMS17000000000000001,2003,M05,2003 May,5806.0
SMS17000000000000001,2003,M06,2003 Jun,5804.5
SMS17000000000000001,2003,M07,2003 Jul,5802.9
SMS17000000000000001,2003,M08,2003 Aug,5802.7
SMS17000000000000001,2003,M09,2003 Sep,5799.0
SMS17000000000000001,2003,M10,2003 Oct,5796.1
SMS17000000000000001,2003,M11,2003 Nov,5792.3
SMS17000000000000001,2003,M12,2003 Dec,5796.5
SMS17000000000000001,2004,M01,2004 Jan,5797.7
SMS17000000000000001,2004,M02,2004 Feb,5792.7
SMS17000000000000001,2004,M03,2004 Mar,5800.2
SMS17000000000000001,2004,M04,2004 Apr,5800.5
SMS17000000000000001,2004,M05,2004 May,5810.3
SMS17000000000000001,2004,M06,2004 Jun,5816.3
SMS17000000000000001,2004,M07,2004 Jul,5822.5
SMS17000000000000001,2004,M08,2004 Aug,5828.1
SMS17000000000000001,2004,M09,2004 Sep,5818.4
SMS17000000000000001,2004,M10,2004 Oct,5830.9
SMS17000000000000001,2004,M11,2004 Nov,5833.4
SMS17000000000000001,2004,M12,2004 Dec,5850.7
SMS17000000000000001,2005,M01,2005 Jan,5831.4
SMS17000000000000001,2005,M02,2005 Feb,5835.8
SMS17000000000000001,2005,M03,2005 Mar,5834.1
SMS17000000000000001,2005,M04,2005 Apr,5856.4
SMS17000000000000001,2005,M05,2005 May,5854.9
SMS17000000000000001,2005,M06,2005 Jun,5841.5
SMS17000000000000001,2005,M07,2005 Jul,5875.0
SMS17000000000000001,2005,M08,2005 Aug,5880.1
SMS17000000000000001,2005,M09,2005 Sep,5885.9
SMS17000000000000001,2005,M10,2005 Oct,5880.2
SMS17000000000000001,2005,M11,2005 Nov,5888.4
SMS17000000000000001,2005,M12,2005 Dec,5891.7
SMS17000000000000001,2006,M01,2006 Jan,5902.0
SMS17000000000000001,2006,M02,2006 Feb,5915.5
SMS17000000000000001,2006,M03,2006 Mar,5920.9
SMS17000000000000001,2006,M04,2006 Apr,5920.4
SMS17000000000000001,2006,M05,2006 May,5920.9
SMS17000000000000001,2006,M06,2006 Jun,5938.5
SMS17000000000000001,2006,M07,2006 Jul,5935.7
SMS17000000000000001,2006,M08,2006 Aug,5944.9
SMS17000000000000001,2006,M09,2006 Sep,5948.0
SMS17000000000000001,2006,M10,2006 Oct,5939.7
SMS17000000000000001,2006,M11,2006 Nov,5943.6
SMS17000000000000001,2006,M12,2006 Dec,5952.1
SMS17000000000000001,2007,M01,2007 Jan,5966.5
SMS17000000000000001,2007,M02,2007 Feb,5956.4
SMS17000000000000001,2007,M03,2007 Mar,5976.0
SMS17000000000000001,2007,M04,2007 Apr,5975.2
SMS17000000000000001,2007,M05,2007 May,5983.5
SMS17000000000000001,2007,M06,2007 Jun,5986.5
SMS17000000000000001,2007,M07,2007 Jul,5983.0
SMS17000000000000001,2007,M08,2007 Aug,5978.5
SMS17000000000000001,2007,M09,2007 Sep,5978.0
SMS17000000000000001,2007,M10,2007 Oct,5976.8
SMS17000000000000001,2007,M11,2007 Nov,5982.7
SMS17000000000000001,2007,M12,2007 Dec,5983.4
SMS17000000000000001,2008,M01,2008 Jan,5989.8
SMS17000000000000001,2008,M02,2008 Feb,5985.0
SMS17000000000000001,2008,M03,2008 Mar,5978.3
SMS17000000000000001,2008,M04,2008 Apr,5978.2
SMS17000000000000001,2008,M05,2008 May,5973.5
SMS17000000000000001,2008,M06,2008 Jun,5966.9
SMS17000000000000001,2008,M07,2008 Jul,5962.0
SMS17000000000000001,2008,M08,2008 Aug,5950.6
SMS17000000000000001,2008,M09,2008 Sep,5930.0
SMS17000000000000001,2008,M10,2008 Oct,5907.0
SMS17000000000000001,2008,M11,2008 Nov,5880.4
SMS17000000000000001,2008,M12,2008 Dec,5848.2
SMS17000000000000001,2009,M01,2009 Jan,5799.4
SMS17000000000000001,2009,M02,2009 Feb,5765.2
SMS17000000000000001,2009,M03,2009 Mar,5726.3
SMS17000000000000001,2009,M04,2009 Apr,5678.3
SMS17000000000000001,2009,M05,2009 May,5662.9
SMS17000000000000001,2009,M06,2009 Jun,5641.4
SMS17000000000000001,2009,M07,2009 Jul,5620.5
SMS17000000000000001,2009,M08,2009 Aug,5605.2
SMS17000000000000001,2009,M09,2009 Sep,5597.1
SMS17000000000000001,2009,M10,2009 Oct,5585.7
SMS17000000000000001,2009,M11,2009 Nov,5588.4
SMS17000000000000001,2009,M12,2009 Dec,5579.9
SMS17000000000000001,2010,M01,2010 Jan,5583.1
