observation_date,INICLAIMS
2001-01-06,10710
2001-01-13,14863
2001-01-20,11588
2001-01-27,10760
2001-02-03,9667
2001-02-10,8275
2001-02-17,6896
2001-02-24,7321
2001-03-03,6762
2001-03-10,7382
2001-03-17,6568
2001-03-24,5374
2001-03-31,7007
2001-04-07,7466
2001-04-14,4636
2001-04-21,5972
2001-04-28,5403
2001-05-05,4847
2001-05-12,5206
2001-05-19,6607
2001-05-26,5991
2001-06-02,5684
2001-06-09,7491
2001-06-16,5697
2001-06-23,6140
2001-06-30,6470
2001-07-07,16685
2001-07-14,9063
2001-07-21,8529
2001-07-28,6493
2001-08-04,6369
2001-08-11,5647
2001-08-18,5010
2001-08-25,4807
2001-09-01,6520
2001-09-08,5566
2001-09-15,4708
2001-09-22,6905
2001-09-29,6336
2001-10-06,7151
2001-10-13,7804
2001-10-20,8293
2001-10-27,8115
2001-11-03,7980
2001-11-10,8247
2001-11-17,6423
2001-11-24,11937
2001-12-01,11475
2001-12-08,10056
2001-12-15,9556
2001-12-22,12784
2001-12-29,19545
2002-01-05,13509
2002-01-12,13645
2002-01-19,10558
2002-01-26,7513
2002-02-02,7982
2002-02-09,7530
2002-02-16,6499
2002-02-23,6184
2002-03-02,6799
2002-03-09,6653
2002-03-16,5787
2002-03-23,6092
2002-03-30,5467
2002-04-06,6845
2002-04-13,6751
2002-04-20,5362
2002-04-27,5346
2002-05-04,5237
2002-05-11,6756
2002-05-18,6463
2002-05-25,5577
2002-06-01,5107
2002-06-08,5941
2002-06-15,5901
2002-06-22,6564
2002-06-29,5144
2002-07-06,12753
2002-07-13,9108
2002-07-20,5757
2002-07-27,6512
2002-08-03,5285
2002-08-10,5849
2002-08-17,5117
2002-08-24,6365
2002-08-31,5381
2002-09-07,5587
2002-09-14,5304
2002-09-21,5709
2002-09-28,5166
2002-10-05,5647
2002-10-12,6726
2002-10-19,6449
2002-10-26,6501
2002-11-02,7237
2002-11-09,6833
2002-11-16,6240
2002-11-23,7324
2002-11-30,8334
2002-12-07,10438
2002-12-14,10279
2002-12-21,11417
2002-12-28,20473
2003-01-04,12798
2003-01-11,14119
2003-01-18,10201
2003-01-25,8152
2003-02-01,8475
2003-02-08,8007
2003-02-15,7533
2003-02-22,7351
2003-03-01,7656
2003-03-08,7815
2003-03-15,7267
2003-03-22,8038
2003-03-29,8316
2003-04-05,7372
2003-04-12,9820
2003-04-19,5701
2003-04-26,7921
2003-05-03,6456
2003-05-10,6248
2003-05-17,6775
2003-05-24,8125
2003-05-31,6266
2003-06-07,7272
2003-06-14,6701
2003-06-21,6389
2003-06-28,6817
2003-07-05,15838
2003-07-12,18146
2003-07-19,8190
2003-07-26,6350
2003-08-02,5999
2003-08-09,7637
2003-08-16,5550
2003-08-23,6247
2003-08-30,6504
2003-09-06,5480
2003-09-13,5711
2003-09-20,5531
2003-09-27,5248
2003-10-04,5688
2003-10-11,6815
2003-10-18,5693
2003-10-25,5713
2003-11-01,6247
2003-11-08,6778
