Series ID,Year,Period,Label,Value
SMS18000000000000001,2005,M01,2005 Jan,2949.8
SMS18000000000000001,2005,M02,2005 Feb,2955.7
SMS18000000000000001,2005,M03,2005 Mar,2952.0
SMS18000000000000001,2005,M04,2005 Apr,2961.1
SMS18000000000000001,2005,M05,2005 May,2955.5
SMS18000000000000001,2005,M06,2005 Jun,2956.0
SMS18000000000000001,2005,M07,2005 Jul,2959.4
SMS18000000000000001,2005,M08,2005 Aug,2956.6
SMS18000000000000001,2005,M09,2005 Sep,2969.5
SMS18000000000000001,2005,M10,2005 Oct,2972.8
SMS18000000000000001,2005,M11,2005 Nov,2974.5
SMS18000000000000001,2005,M12,2005 Dec,2976.1
SMS18000000000000001,2006,M01,2006 Jan,2978.8
SMS18000000000000001,2006,M02,2006 Feb,2982.1
SMS18000000000000001,2006,M03,2006 Mar,2986.7
SMS18000000000000001,2006,M04,2006 Apr,2982.6
SMS18000000000000001,2006,M05,2006 May,2974.3
SMS18000000000000001,2006,M06,2006 Jun,2983.8
SMS18000000000000001,2006,M07,2006 Jul,2971.5
SMS18000000000000001,2006,M08,2006 Aug,2974.8
SMS18000000000000001,2006,M09,2006 Sep,2977.1
SMS18000000000000001,2006,M10,2006 Oct,2981.4
SMS18000000000000001,2006,M11,2006 Nov,2981.1
SMS18000000000000001,2006,M12,2006 Dec,2989.4
SMS18000000000000001,2007,M01,2007 Jan,2989.0
SMS18000000000000001,2007,M02,2007 Feb,2979.1
SMS18000000000000001,2007,M03,2007 Mar,2994.7
SMS18000000000000001,2007,M04,2007 Apr,2992.9
SMS18000000000000001,2007,M05,2007 May,2991.3
SMS18000000000000001,2007,M06,2007 Jun,2998.2
SMS18000000000000001,2007,M07,2007 Jul,2989.5
SMS18000000000000001,2007,M08,2007 Aug,2986.5
SMS18000000000000001,2007,M09,2007 Sep,2992.5
SMS18000000000000001,2007,M10,2007 Oct,2993.3
SMS18000000000000001,2007,M11,2007 Nov,2995.1
SMS18000000000000001,2007,M12,2007 Dec,2993.4
SMS18000000000000001,2008,M01,2008 Jan,2991.6
SMS18000000000000001,2008,M02,2008 Feb,2991.5
SMS18000000000000001,2008,M03,2008 Mar,2979.9
SMS18000000000000001,2008,M04,2008 Apr,2980.1
SMS18000000000000001,2008,M05,2008 May,2981.3
SMS18000000000000001,2008,M06,2008 Jun,2976.2
SMS18000000000000001,2008,M07,2008 Jul,2970.6
SMS18000000000000001,2008,M08,2008 Aug,2966.8
SMS18000000000000001,2008,M09,2008 Sep,2955.4
SMS18000000000000001,2008,M10,2008 Oct,2939.4
SMS18000000000000001,2008,M11,2008 Nov,2920.8
SMS18000000000000001,2008,M12,2008 Dec,2894.0
SMS18000000000000001,2009,M01,2009 Jan,2858.7
SMS18000000000000001,2009,M02,2009 Feb,2842.0
