Series ID,Year,Period,Label,Value
SMS26000000000000001,2005,M01,2005 Jan,4393.1
SMS26000000000000001,2005,M02,2005 Feb,4404.8
SMS26000000000000001,2005,M03,2005 Mar,4399.5
SMS26000000000000001,2005,M04,2005 Apr,4404.9
SMS26000000000000001,2005,M05,2005 May,4402.3
SMS26000000000000001,2005,M06,2005 Jun,4386.1
SMS26000000000000001,2005,M07,2005 Jul,4384.0
SMS26000000000000001,2005,M08,2005 Aug,4383.0
SMS26000000000000001,2005,M09,2005 Sep,4396.9
SMS26000000000000001,2005,M10,2005 Oct,4383.8
SMS26000000000000001,2005,M11,2005 Nov,4384.4
SMS26000000000000001,2005,M12,2005 Dec,4376.8
SMS26000000000000001,2006,M01,2006 Jan,4368.5
SMS26000000000000001,2006,M02,2006 Feb,4361.6
SMS26000000000000001,2006,M03,2006 Mar,4362.2
SMS26000000000000001,2006,M04,2006 Apr,4358.5
SMS26000000000000001,2006,M05,2006 May,4340.5
SMS26000000000000001,2006,M06,2006 Jun,4341.6
SMS26000000000000001,2006,M07,2006 Jul,4306.7
SMS26000000000000001,2006,M08,2006 Aug,4310.0
SMS26000000000000001,2006,M09,2006 Sep,4313.6
SMS26000000000000001,2006,M10,2006 Oct,4295.8
SMS26000000000000001,2006,M11,2006 Nov,4297.5
SMS26000000000000001,2006,M12,2006 Dec,4298.2
SMS26000000000000001,2007,M01,2007 Jan,4284.4
SMS26000000000000001,2007,M02,2007 Feb,4292.4
SMS26000000000000001,2007,M03,2007 Mar,4291.2
SMS26000000000000001,2007,M04,2007 Apr,4284.3
SMS26000000000000001,2007,M05,2007 May,4282.4
SMS26000000000000001,2007,M06,2007 Jun,4277.6
SMS26000000000000001,2007,M07,2007 Jul,4267.7
SMS26000000000000001,2007,M08,2007 Aug,4262.7
SMS26000000000000001,2007,M09,2007 Sep,4258.9
SMS26000000000000001,2007,M10,2007 Oct,4246.1
SMS26000000000000001,2007,M11,2007 Nov,4250.8
SMS26000000000000001,2007,M12,2007 Dec,4250.5
SMS26000000000000001,2008,M01,2008 Jan,4240.7
SMS26000000000000001,2008,M02,2008 Feb,4235.6
SMS26000000000000001,2008,M03,2008 Mar,4217.7
SMS26000000000000001,2008,M04,2008 Apr,4193.5
SMS26000000000000001,2008,M05,2008 May,4186.6
SMS26000000000000001,2008,M06,2008 Jun,4196.5
SMS26000000000000001,2008,M07,2008 Jul,4161.0
SMS26000000000000001,2008,M08,2008 Aug,4156.6
SMS26000000000000001,2008,M09,2008 Sep,4137.8
SMS26000000000000001,2008,M10,2008 Oct,4113.3
SMS26000000000000001,2008,M11,2008 Nov,4086.7
SMS26000000000000001,2008,M12,2008 Dec,4056.3
SMS26000000000000001,2009,M01,2009 Jan,3954.2
SMS26000000000000001,2009,M02,2009 Feb,3952.8
SMS26000000000000001,2009,M03,2009 Mar,3927.1
SMS26000000000000001,2009,M04,2009 Apr,3909.2
SMS26000000000000001,2009,M05,2009 May,3877.2
SMS26000000000000001,2009,M06,2009 Jun,3839.7
SMS26000000000000001,2009,M07,2009 Jul,3831.5
SMS26000000000000001,2009,M08,2009 Aug,3832.4
SMS26000000000000001,2009,M09,2009 Sep,3838.7
SMS26000000000000001,2009,M10,2009 Oct,3844.4
SMS26000000000000001,2009,M11,2009 Nov,3838.5
SMS26000000000000001,2009,M12,2009 Dec,3839.9
SMS26000000000000001,2010,M01,2010 Jan,3839.2
SMS26000000000000001,2010,M02,2010 Feb,3836.0
SMS26000000000000001,2010,M03,2010 Mar,3833.8
SMS26000000000000001,2010,M04,2010 Apr,3851.2
SMS26000000000000001,2010,M05,2010 May,3864.8
SMS26000000000000001,2010,M06,2010 Jun,3867.9
SMS26000000000000001,2010,M07,2010 Jul,3882.9
SMS26000000000000001,2010,M08,2010 Aug,3868.0
SMS26000000000000001,2010,M09,2010 Sep,3879.3
SMS26000000000000001,2010,M10,2010 Oct,3894.0
SMS26000000000000001,2010,M11,2010 Nov,3896.3
SMS26000000000000001,2010,M12,2010 Dec,3895.9
SMS26000000000000001,2011,M01,2011 Jan,3910.9
SMS26000000000000001,2011,M02,2011 Feb,3912.5
SMS26000000000000001,2011,M03,2011 Mar,3925.8
SMS26000000000000001,2011,M04,2011 Apr,3939.3
SMS26000000000000001,2011,M05,2011 May,3942.0
SMS26000000000000001,2011,M06,2011 Jun,3948.1
SMS26000000000000001,2011,M07,2011 Jul,3968.8
SMS26000000000000001,2011,M08,2011 Aug,3971.3
SMS26000000000000001,2011,M09,2011 Sep,3982.8
SMS26000000000000001,2011,M10,2011 Oct,3988.5
SMS26000000000000001,2011,M11,2011 Nov,3994.4
SMS26000000000000001,2011,M12,2011 Dec,3994.3
SMS26000000000000001,2012,M01,2012 Jan,4009.1
SMS26000000000000001,2012,M02,2012 Feb,4014.5
SMS26000000000000001,2012,M03,2012 Mar,4027.1
SMS26000000000000001,2012,M04,2012 Apr,4037.3
SMS26000000000000001,2012,M05,2012 May,4029.5
SMS26000000000000001,2012,M06,2012 Jun,4031.8
SMS26000000000000001,2012,M07,2012 Jul,4043.3
SMS26000000000000001,2012,M08,2012 Aug,4043.5
SMS26000000000000001,2012,M09,2012 Sep,4049.7
SMS26000000000000001,2012,M10,2012 Oct,4051.6
SMS26000000000000001,2012,M11,2012 Nov,4060.7
SMS26000000000000001,2012,M12,2012 Dec,4070.6
SMS26000000000000001,2013,M01,2013 Jan,4085.6
SMS26000000000000001,2013,M02,2013 Feb,4095.8
SMS26000000000000001,2013,M03,2013 Mar,4102.0
SMS26000000000000001,2013,M04,2013 Apr,4088.3
SMS26000000000000001,2013,M05,2013 May,4107.0
SMS26000000000000001,2013,M06,2013 Jun,4108.4
SMS26000000000000001,2013,M07,2013 Jul,4103.8
SMS26000000000000001,2013,M08,2013 Aug,4122.9
SMS26000000000000001,2013,M09,2013 Sep,4132.3
SMS26000000000000001,2013,M10,2013 Oct,4139.9
SMS26000000000000001,2013,M11,2013 Nov,4144.3
SMS26000000000000001,2013,M12,2013 Dec,4147.1
SMS26000000000000001,2014,M01,2014 Jan,4145.8
SMS26000000000000001,2014,M02,2014 Feb,4163.0
SMS26000000000000001,2014,M03,2014 Mar,4165.1
SMS26000000000000001,2014,M04,2014 Apr,4156.4
SMS26000000000000001,2014,M05,2014 May,4179.8
SMS26000000000000001,2014,M06,2014 Jun,4197.0
SMS26000000000000001,2014,M07,2014 Jul,4192.1
SMS26000000000000001,2014,M08,2014 Aug,4197.3
SMS26000000000000001,2014,M09,2014 Sep,4193.5
SMS26000000000000001,2014,M10,2014 Oct,4204.7
SMS26000000000000001,2014,M11,2014 Nov,4212.4
SMS26000000000000001,2014,M12,2014 Dec,4231.1
SMS26000000000000001,2015,M01,2015 Jan,4221.6
SMS26000000000000001,2015,M02,2015 Feb,4221.0
SMS26000000000000001,2015,M03,2015 Mar,4222.9
SMS26000000000000001,2015,M04,2015 Apr,4227.0
SMS26000000000000001,2015,M05,2015 May,4245.5
SMS26000000000000001,2015,M06,2015 Jun,4242.8
SMS26000000000000001,2015,M07,2015 Jul,4251.2
SMS26000000000000001,2015,M08,2015 Aug,4255.4
SMS26000000000000001,2015,M09,2015 Sep,4257.0
SMS26000000000000001,2015,M10,2015 Oct,4274.4
SMS26000000000000001,2015,M11,2015 Nov,4275.8
SMS26000000000000001,2015,M12,2015 Dec,4288.8
SMS26000000000000001,2016,M01,2016 Jan,4295.9
SMS26000000000000001,2016,M02,2016 Feb,4297.9
SMS26000000000000001,2016,M03,2016 Mar,4300.1
SMS26000000000000001,2016,M04,2016 Apr,4326.8
SMS26000000000000001,2016,M05,2016 May,4314.3
SMS26000000000000001,2016,M06,2016 Jun,4318.1
SMS26000000000000001,2016,M07,2016 Jul,4336.3
SMS26000000000000001,2016,M08,2016 Aug,4332.0
SMS26000000000000001,2016,M09,2016 Sep,4347.7
SMS26000000000000001,2016,M10,2016 Oct,4343.8
SMS26000000000000001,2016,M11,2016 Nov,4356.1
SMS26000000000000001,2016,M12,2016 Dec,4351.7
SMS26000000000000001,2017,M01,2017 Jan,4363.3
SMS26000000000000001,2017,M02,2017 Feb,4362.6
SMS26000000000000001,2017,M03,2017 Mar,4367.7
SMS26000000000000001,2017,M04,2017 Apr,4373.7
SMS26000000000000001,2017,M05,2017 May,4378.7
SMS26000000000000001,2017,M06,2017 Jun,4383.2
SMS26000000000000001,2017,M07,2017 Jul,4369.0
SMS26000000000000001,2017,M08,2017 Aug,4379.3
SMS26000000000000001,2017,M09,2017 Sep,4385.3
SMS26000000000000001,2017,M10,2017 Oct,4383.8
SMS26000000000000001,2017,M11,2017 Nov,4390.0
SMS26000000000000001,2017,M12,2017 Dec,4391.1
SMS26000000000000001,2018,M01,2018 Jan,4402.0
SMS26000000000000001,2018,M02,2018 Feb,4414.3
SMS26000000000000001,2018,M03,2018 Mar,4426.0
SMS26000000000000001,2018,M04,2018 Apr,4415.0
SMS26000000000000001,2018,M05,2018 May,4422.8
SMS26000000000000001,2018,M06,2018 Jun,4434.3
SMS26000000000000001,2018,M07,2018 Jul,4424.2
SMS26000000000000001,2018,M08,2018 Aug,4429.5
