Series ID,Year,Period,Label,Value
SMU26000003000000007,2005,M01,2005 Jan,41.8
SMU26000003000000007,2005,M02,2005 Feb,41.3
SMU26000003000000007,2005,M03,2005 Mar,41.0
SMU26000003000000007,2005,M04,2005 Apr,41.3
SMU26000003000000007,2005,M05,2005 May,41.3
SMU26000003000000007,2005,M06,2005 Jun,41.6
SMU26000003000000007,2005,M07,2005 Jul,39.5
SMU26000003000000007,2005,M08,2005 Aug,42.0
SMU26000003000000007,2005,M09,2005 Sep,42.6
SMU26000003000000007,2005,M10,2005 Oct,42.6
SMU26000003000000007,2005,M11,2005 Nov,42.2
SMU26000003000000007,2005,M12,2005 Dec,42.9
SMU26000003000000007,2006,M01,2006 Jan,40.8
SMU26000003000000007,2006,M02,2006 Feb,41.3
SMU26000003000000007,2006,M03,2006 Mar,41.7
SMU26000003000000007,2006,M04,2006 Apr,40.7
SMU26000003000000007,2006,M05,2006 May,42.9
SMU26000003000000007,2006,M06,2006 Jun,43.4
SMU26000003000000007,2006,M07,2006 Jul,40.9
SMU26000003000000007,2006,M08,2006 Aug,43.3
SMU26000003000000007,2006,M09,2006 Sep,43.6
SMU26000003000000007,2006,M10,2006 Oct,42.8
SMU26000003000000007,2006,M11,2006 Nov,41.9
SMU26000003000000007,2006,M12,2006 Dec,42.7
SMU26000003000000007,2007,M01,2007 Jan,40.7
SMU26000003000000007,2007,M02,2007 Feb,41.8
SMU26000003000000007,2007,M03,2007 Mar,42.3
SMU26000003000000007,2007,M04,2007 Apr,42.0
SMU26000003000000007,2007,M05,2007 May,42.9
SMU26000003000000007,2007,M06,2007 Jun,43.2
SMU26000003000000007,2007,M07,2007 Jul,40.4
SMU26000003000000007,2007,M08,2007 Aug,43.2
SMU26000003000000007,2007,M09,2007 Sep,43.3
SMU26000003000000007,2007,M10,2007 Oct,43.5
SMU26000003000000007,2007,M11,2007 Nov,42.2
SMU26000003000000007,2007,M12,2007 Dec,43.6
SMU26000003000000007,2008,M01,2008 Jan,42.8
SMU26000003000000007,2008,M02,2008 Feb,43.0
SMU26000003000000007,2008,M03,2008 Mar,43.1
SMU26000003000000007,2008,M04,2008 Apr,42.3
SMU26000003000000007,2008,M05,2008 May,40.9
SMU26000003000000007,2008,M06,2008 Jun,43.3
SMU26000003000000007,2008,M07,2008 Jul,41.6
SMU26000003000000007,2008,M08,2008 Aug,42.3
SMU26000003000000007,2008,M09,2008 Sep,42.5
SMU26000003000000007,2008,M10,2008 Oct,41.6
SMU26000003000000007,2008,M11,2008 Nov,40.9
SMU26000003000000007,2008,M12,2008 Dec,41.2
SMU26000003000000007,2009,M01,2009 Jan,37.6
SMU26000003000000007,2009,M02,2009 Feb,39.9
SMU26000003000000007,2009,M03,2009 Mar,40.3
SMU26000003000000007,2009,M04,2009 Apr,40.2
SMU26000003000000007,2009,M05,2009 May,38.3
SMU26000003000000007,2009,M06,2009 Jun,41.5
SMU26000003000000007,2009,M07,2009 Jul,41.8
SMU26000003000000007,2009,M08,2009 Aug,43.2
SMU26000003000000007,2009,M09,2009 Sep,43.1
SMU26000003000000007,2009,M10,2009 Oct,43.4
SMU26000003000000007,2009,M11,2009 Nov,42.0
SMU26000003000000007,2009,M12,2009 Dec,44.0
SMU26000003000000007,2010,M01,2010 Jan,42.7
SMU26000003000000007,2010,M02,2010 Feb,43.0
SMU26000003000000007,2010,M03,2010 Mar,43.3
SMU26000003000000007,2010,M04,2010 Apr,43.6
SMU26000003000000007,2010,M05,2010 May,44.0
SMU26000003000000007,2010,M06,2010 Jun,44.4
SMU26000003000000007,2010,M07,2010 Jul,44.0
SMU26000003000000007,2010,M08,2010 Aug,44.7
SMU26000003000000007,2010,M09,2010 Sep,44.6
SMU26000003000000007,2010,M10,2010 Oct,44.2
SMU26000003000000007,2010,M11,2010 Nov,44.3
SMU26000003000000007,2010,M12,2010 Dec,44.4
SMU26000003000000007,2011,M01,2011 Jan,43.7
SMU26000003000000007,2011,M02,2011 Feb,44.0
SMU26000003000000007,2011,M03,2011 Mar,44.8
SMU26000003000000007,2011,M04,2011 Apr,43.7
SMU26000003000000007,2011,M05,2011 May,44.5
SMU26000003000000007,2011,M06,2011 Jun,44.3
SMU26000003000000007,2011,M07,2011 Jul,42.7
SMU26000003000000007,2011,M08,2011 Aug,44.4
SMU26000003000000007,2011,M09,2011 Sep,44.5
SMU26000003000000007,2011,M10,2011 Oct,43.5
SMU26000003000000007,2011,M11,2011 Nov,44.0
SMU26000003000000007,2011,M12,2011 Dec,44.4
SMU26000003000000007,2012,M01,2012 Jan,42.9
SMU26000003000000007,2012,M02,2012 Feb,42.9
SMU26000003000000007,2012,M03,2012 Mar,42.7
SMU26000003000000007,2012,M04,2012 Apr,44.1
SMU26000003000000007,2012,M05,2012 May,42.7
SMU26000003000000007,2012,M06,2012 Jun,43.3
SMU26000003000000007,2012,M07,2012 Jul,42.8
SMU26000003000000007,2012,M08,2012 Aug,44.0
SMU26000003000000007,2012,M09,2012 Sep,44.0
SMU26000003000000007,2012,M10,2012 Oct,44.1
SMU26000003000000007,2012,M11,2012 Nov,44.2
SMU26000003000000007,2012,M12,2012 Dec,44.7
SMU26000003000000007,2013,M01,2013 Jan,43.7
SMU26000003000000007,2013,M02,2013 Feb,43.9
SMU26000003000000007,2013,M03,2013 Mar,44.2
SMU26000003000000007,2013,M04,2013 Apr,43.5
SMU26000003000000007,2013,M05,2013 May,42.9
SMU26000003000000007,2013,M06,2013 Jun,43.2
SMU26000003000000007,2013,M07,2013 Jul,42.2
SMU26000003000000007,2013,M08,2013 Aug,44.0
SMU26000003000000007,2013,M09,2013 Sep,44.2
SMU26000003000000007,2013,M10,2013 Oct,43.7
SMU26000003000000007,2013,M11,2013 Nov,44.1
SMU26000003000000007,2013,M12,2013 Dec,45.0
SMU26000003000000007,2014,M01,2014 Jan,42.2
SMU26000003000000007,2014,M02,2014 Feb,44.1
SMU26000003000000007,2014,M03,2014 Mar,44.0
SMU26000003000000007,2014,M04,2014 Apr,43.7
SMU26000003000000007,2014,M05,2014 May,44.4
