Series ID,Year,Period,Label,Value
LASST260000000000003,2005,M01,2005 Jan,7.2
LASST260000000000003,2005,M02,2005 Feb,7.1
LASST260000000000003,2005,M03,2005 Mar,7.0
LASST260000000000003,2005,M04,2005 Apr,6.9
LASST260000000000003,2005,M05,2005 May,6.8
LASST260000000000003,2005,M06,2005 Jun,6.7
LASST260000000000003,2005,M07,2005 Jul,6.6
LASST260000000000003,2005,M08,2005 Aug,6.5
LASST260000000000003,2005,M09,2005 Sep,6.5
LASST260000000000003,2005,M10,2005 Oct,6.5
LASST260000000000003,2005,M11,2005 Nov,6.6
LASST260000000000003,2005,M12,2005 Dec,6.7
LASST260000000000003,2006,M01,2006 Jan,6.7
LASST260000000000003,2006,M02,2006 Feb,6.7
LASST260000000000003,2006,M03,2006 Mar,6.7
LASST260000000000003,2006,M04,2006 Apr,6.8
LASST260000000000003,2006,M05,2006 May,6.8
LASST260000000000003,2006,M06,2006 Jun,6.8
LASST260000000000003,2006,M07,2006 Jul,6.9
LASST260000000000003,2006,M08,2006 Aug,7.0
LASST260000000000003,2006,M09,2006 Sep,7.0
LASST260000000000003,2006,M10,2006 Oct,7.0
LASST260000000000003,2006,M11,2006 Nov,7.0
LASST260000000000003,2006,M12,2006 Dec,7.0
LASST260000000000003,2007,M01,2007 Jan,6.9
LASST260000000000003,2007,M02,2007 Feb,6.9
LASST260000000000003,2007,M03,2007 Mar,6.9
LASST260000000000003,2007,M04,2007 Apr,6.9
LASST260000000000003,2007,M05,2007 May,6.9
LASST260000000000003,2007,M06,2007 Jun,7.0
LASST260000000000003,2007,M07,2007 Jul,7.1
LASST260000000000003,2007,M08,2007 Aug,7.2
LASST260000000000003,2007,M09,2007 Sep,7.2
LASST260000000000003,2007,M10,2007 Oct,7.3
LASST260000000000003,2007,M11,2007 Nov,7.3
LASST260000000000003,2007,M12,2007 Dec,7.2
LASST260000000000003,2008,M01,2008 Jan,7.2
LASST260000000000003,2008,M02,2008 Feb,7.2
LASST260000000000003,2008,M03,2008 Mar,7.3
LASST260000000000003,2008,M04,2008 Apr,7.4
LASST260000000000003,2008,M05,2008 May,7.7
LASST260000000000003,2008,M06,2008 Jun,7.9
LASST260000000000003,2008,M07,2008 Jul,8.2
LASST260000000000003,2008,M08,2008 Aug,8.4
LASST260000000000003,2008,M09,2008 Sep,8.7
LASST260000000000003,2008,M10,2008 Oct,9.1
LASST260000000000003,2008,M11,2008 Nov,9.6
LASST260000000000003,2008,M12,2008 Dec,10.1
LASST260000000000003,2009,M01,2009 Jan,11.0
LASST260000000000003,2009,M02,2009 Feb,11.9
LASST260000000000003,2009,M03,2009 Mar,12.7
LASST260000000000003,2009,M04,2009 Apr,13.3
LASST260000000000003,2009,M05,2009 May,13.8
LASST260000000000003,2009,M06,2009 Jun,14.3
LASST260000000000003,2009,M07,2009 Jul,14.3
LASST260000000000003,2009,M08,2009 Aug,14.2
LASST260000000000003,2009,M09,2009 Sep,14.2
LASST260000000000003,2009,M10,2009 Oct,14.1
LASST260000000000003,2009,M11,2009 Nov,14.0
LASST260000000000003,2009,M12,2009 Dec,14.0
LASST260000000000003,2010,M01,2010 Jan,13.9
LASST260000000000003,2010,M02,2010 Feb,13.8
LASST260000000000003,2010,M03,2010 Mar,13.7
LASST260000000000003,2010,M04,2010 Apr,13.4
LASST260000000000003,2010,M05,2010 May,13.2
LASST260000000000003,2010,M06,2010 Jun,12.9
LASST260000000000003,2010,M07,2010 Jul,12.9
LASST260000000000003,2010,M08,2010 Aug,12.5
LASST260000000000003,2010,M09,2010 Sep,12.2
LASST260000000000003,2010,M10,2010 Oct,11.8
LASST260000000000003,2010,M11,2010 Nov,11.5
LASST260000000000003,2010,M12,2010 Dec,11.1
LASST260000000000003,2011,M01,2011 Jan,10.8
LASST260000000000003,2011,M02,2011 Feb,10.6
LASST260000000000003,2011,M03,2011 Mar,10.2
LASST260000000000003,2011,M04,2011 Apr,10.2
LASST260000000000003,2011,M05,2011 May,10.3
LASST260000000000003,2011,M06,2011 Jun,10.3
LASST260000000000003,2011,M07,2011 Jul,10.3
LASST260000000000003,2011,M08,2011 Aug,10.2
LASST260000000000003,2011,M09,2011 Sep,10.0
LASST260000000000003,2011,M10,2011 Oct,9.8
LASST260000000000003,2011,M11,2011 Nov,9.6
LASST260000000000003,2011,M12,2011 Dec,9.4
LASST260000000000003,2012,M01,2012 Jan,9.2
LASST260000000000003,2012,M02,2012 Feb,9.1
LASST260000000000003,2012,M03,2012 Mar,9.1
LASST260000000000003,2012,M04,2012 Apr,9.1
LASST260000000000003,2012,M05,2012 May,9.1
LASST260000000000003,2012,M06,2012 Jun,9.1
LASST260000000000003,2012,M07,2012 Jul,9.1
LASST260000000000003,2012,M08,2012 Aug,9.0
LASST260000000000003,2012,M09,2012 Sep,9.0
LASST260000000000003,2012,M10,2012 Oct,9.0
LASST260000000000003,2012,M11,2012 Nov,9.0
LASST260000000000003,2012,M12,2012 Dec,9.0
LASST260000000000003,2013,M01,2013 Jan,9.0
LASST260000000000003,2013,M02,2013 Feb,9.0
LASST260000000000003,2013,M03,2013 Mar,8.9
LASST260000000000003,2013,M04,2013 Apr,8.9
LASST260000000000003,2013,M05,2013 May,8.8
LASST260000000000003,2013,M06,2013 Jun,8.8
LASST260000000000003,2013,M07,2013 Jul,8.8
LASST260000000000003,2013,M08,2013 Aug,8.8
LASST260000000000003,2013,M09,2013 Sep,8.7
LASST260000000000003,2013,M10,2013 Oct,8.5
LASST260000000000003,2013,M11,2013 Nov,8.4
LASST260000000000003,2013,M12,2013 Dec,8.2
LASST260000000000003,2014,M01,2014 Jan,8.1
LASST260000000000003,2014,M02,2014 Feb,8.0
LASST260000000000003,2014,M03,2014 Mar,7.8
LASST260000000000003,2014,M04,2014 Apr,7.7
LASST260000000000003,2014,M05,2014 May,7.5
LASST260000000000003,2014,M06,2014 Jun,7.4
LASST260000000000003,2014,M07,2014 Jul,7.2
LASST260000000000003,2014,M08,2014 Aug,7.0
LASST260000000000003,2014,M09,2014 Sep,6.8
LASST260000000000003,2014,M10,2014 Oct,6.6
LASST260000000000003,2014,M11,2014 Nov,6.4
LASST260000000000003,2014,M12,2014 Dec,6.2
LASST260000000000003,2015,M01,2015 Jan,6.0
LASST260000000000003,2015,M02,2015 Feb,5.9
LASST260000000000003,2015,M03,2015 Mar,5.8
LASST260000000000003,2015,M04,2015 Apr,5.7
LASST260000000000003,2015,M05,2015 May,5.6
LASST260000000000003,2015,M06,2015 Jun,5.5
LASST260000000000003,2015,M07,2015 Jul,5.4
LASST260000000000003,2015,M08,2015 Aug,5.2
LASST260000000000003,2015,M09,2015 Sep,5.1
LASST260000000000003,2015,M10,2015 Oct,5.0
LASST260000000000003,2015,M11,2015 Nov,4.9
LASST260000000000003,2015,M12,2015 Dec,4.9
LASST260000000000003,2016,M01,2016 Jan,4.9
LASST260000000000003,2016,M02,2016 Feb,4.9
LASST260000000000003,2016,M03,2016 Mar,4.9
LASST260000000000003,2016,M04,2016 Apr,5.0
LASST260000000000003,2016,M05,2016 May,5.0
LASST260000000000003,2016,M06,2016 Jun,5.0
LASST260000000000003,2016,M07,2016 Jul,5.0
LASST260000000000003,2016,M08,2016 Aug,5.0
LASST260000000000003,2016,M09,2016 Sep,5.0
LASST260000000000003,2016,M10,2016 Oct,5.1
LASST260000000000003,2016,M11,2016 Nov,5.1
LASST260000000000003,2016,M12,2016 Dec,5.0
LASST260000000000003,2017,M01,2017 Jan,4.9
LASST260000000000003,2017,M02,2017 Feb,4.7
LASST260000000000003,2017,M03,2017 Mar,4.5
LASST260000000000003,2017,M04,2017 Apr,4.4
LASST260000000000003,2017,M05,2017 May,4.3
LASST260000000000003,2017,M06,2017 Jun,4.4
LASST260000000000003,2017,M07,2017 Jul,4.5
LASST260000000000003,2017,M08,2017 Aug,4.6
LASST260000000000003,2017,M09,2017 Sep,4.7
LASST260000000000003,2017,M10,2017 Oct,4.7
LASST260000000000003,2017,M11,2017 Nov,4.7
LASST260000000000003,2017,M12,2017 Dec,4.6
LASST260000000000003,2018,M01,2018 Jan,4.5
LASST260000000000003,2018,M02,2018 Feb,4.4
LASST260000000000003,2018,M03,2018 Mar,4.3
LASST260000000000003,2018,M04,2018 Apr,4.2
LASST260000000000003,2018,M05,2018 May,4.1
LASST260000000000003,2018,M06,2018 Jun,4.0
LASST260000000000003,2018,M07,2018 Jul,4.0
LASST260000000000003,2018,M08,2018 Aug,4.0
LASST260000000000003,2018,M09,2018 Sep,4.0
LASST260000000000003,2018,M10,2018 Oct,4.1
LASST260000000000003,2018,M11,2018 Nov,4.2
LASST260000000000003,2018,M12,2018 Dec,4.2
LASST260000000000003,2019,M01,2019 Jan,4.2
LASST260000000000003,2019,M02,2019 Feb,4.2
LASST260000000000003,2019,M03,2019 Mar,4.2
LASST260000000000003,2019,M04,2019 Apr,4.2
LASST260000000000003,2019,M05,2019 May,4.2
LASST260000000000003,2019,M06,2019 Jun,4.2
LASST260000000000003,2019,M07,2019 Jul,4.1
LASST260000000000003,2019,M08,2019 Aug,4.1
LASST260000000000003,2019,M09,2019 Sep,4.0
LASST260000000000003,2019,M10,2019 Oct,3.9
LASST260000000000003,2019,M11,2019 Nov,3.8
LASST260000000000003,2019,M12,2019 Dec,3.8
