Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201502,01,3,6,Alabama,704,704,146606,1,2,273,10,33,4171,18,524,45989,541,541,110980,1,2,273,8,25,3525,13,493,43289
201502,02,4,9,Alaska,54,54,14395,2,4,572,1,3,546,0,0,0,11,11,1813,1,2,261,0,0,0,0,0,0
201502,04,4,8,Arizona,1438,1438,358941,5,10,1583,2,7,1277,52,689,74054,1202,1202,303575,3,6,1386,2,7,1277,38,554,61146
201502,05,3,7,Arkansas,420,420,84979,11,22,1887,70,280,22000,1,8,433,382,382,78575,10,20,1797,70,280,22000,0,0,0
201502,06,4,9,California,2745,2745,884215,39,78,13079,15,51,10223,127,4325,724061,2269,2269,759483,33,66,10574,7,24,4473,71,3339,605180
201502,08,4,8,Colorado,1240,1240,348158,6,12,2414,7,26,4711,30,633,101081,1093,1093,311614,4,8,1757,6,23,4360,15,510,92422
201502,09,1,1,Connecticut,84,84,30203,2,4,225,2,7,1030,4,30,1929,59,59,18786,1,2,98,1,4,765,2,13,948
201502,10,3,5,Delaware,300,300,38745,6,12,1275,1,4,444,5,53,5074,221,221,31555,6,12,1275,1,4,444,0,0,0
201502,11,3,5,District of Columbia,18,18,3881,0,0,0,0,0,0,4,326,26505,18,18,3881,0,0,0,0,0,0,4,326,26505
201502,12,3,5,Florida,4661,4661,1235538,25,50,7708,24,95,25203,156,4266,496892,4174,4174,1120990,22,44,6758,23,91,24724,140,3913,457574
201502,13,3,5,Georgia,2340,2340,485522,3,6,463,7,26,3535,20,760,104806,1954,1954,415237,0,0,0,6,23,3399,14,716,101414
201502,15,4,9,Hawaii,211,211,72396,1,2,440,0,0,0,3,291,68460,202,202,67526,1,2,440,0,0,0,3,291,68460
201502,16,4,8,Idaho,506,506,104323,1,2,213,24,96,6108,2,16,1345,465,465,95703,0,0,0,24,96,6108,2,16,1345
201502,17,2,3,Illinois,383,383,106623,3,6,650,3,9,1217,13,1191,111940,286,286,85046,2,4,350,3,9,1217,8,1155,109000
201502,18,2,3,Indiana,636,636,146832,4,8,1006,0,0,0,6,92,12593,573,573,135061,4,8,1006,0,0,0,1,50,10000
201502,19,2,4,Iowa,258,258,60473,1,2,303,2,7,508,15,188,24902,196,196,48915,0,0,0,1,4,299,3,96,12851
201502,20,2,4,Kansas,286,286,61983,3,6,729,1,4,480,6,303,33760,194,194,42578,2,4,532,1,4,480,5,293,33267
201502,21,3,6,Kentucky,368,368,65269,24,48,2660,6,21,1870,12,194,9368,159,159,27215,20,40,1820,2,7,450,2,29,1596
201502,22,3,7,Louisiana,1047,1047,204906,14,28,2231,5,16,1009,29,640,62096,667,667,139726,7,14,902,4,12,380,24,576,58105
201502,23,1,1,Maine,54,54,11936,0,0,0,0,0,0,1,5,1667,26,26,6658,0,0,0,0,0,0,0,0,0
201502,24,3,5,Maryland,669,669,141570,1,2,355,11,34,6524,9,211,17355,600,600,129362,0,0,0,0,0,0,8,105,7729
201502,25,1,1,Massachusetts,228,228,64213,11,22,2681,1,3,200,14,392,74192,143,143,39512,10,20,2499,1,3,200,7,318,66391
201502,26,2,3,Michigan,534,534,125572,2,4,350,2,6,937,5,59,3927,406,406,98289,2,4,350,2,6,937,3,48,3084
201502,27,2,4,Minnesota,529,529,157672,1,2,305,2,8,880,21,236,32808,465,465,139875,1,2,305,2,8,880,1,136,21300
