Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201502,01,3,6,Alabama,1561,1561,325615,2,4,413,19,68,6061,26,652,59147,1232,1232,254677,2,4,413,16,57,5265,18,606,54467
201502,02,4,9,Alaska,96,96,26780,7,14,1879,2,6,1092,0,0,0,17,17,3342,4,8,1145,0,0,0,0,0,0
201502,04,4,8,Arizona,2836,2836,718243,11,22,2931,13,45,7918,69,1029,118025,2409,2409,616626,8,16,2636,13,45,7918,43,774,93972
201502,05,3,7,Arkansas,823,823,168484,21,42,3145,73,290,22549,17,297,16770,750,750,156496,20,40,3055,73,290,22549,14,277,15652
201502,06,4,9,California,5497,5497,1731933,88,176,34265,31,111,19420,257,8704,1376062,4516,4516,1474983,79,158,30243,20,74,11359,171,7444,1220884
201502,08,4,8,Colorado,2339,2339,659640,29,58,11246,14,48,7481,49,890,128671,2064,2064,592387,25,50,9931,12,42,6778,24,717,117333
201502,09,1,1,Connecticut,204,204,73368,5,10,677,4,15,2240,10,169,26033,143,143,43834,2,4,273,1,4,765,3,113,22203
201502,10,3,5,Delaware,610,610,78293,20,40,5133,1,4,444,7,65,5872,436,436,62329,20,40,5133,1,4,444,1,5,686
201502,11,3,5,District of Columbia,35,35,7546,1,2,222,1,3,323,4,326,26505,35,35,7546,1,2,222,1,3,323,4,326,26505
201502,12,3,5,Florida,9019,9019,2432411,43,86,12567,68,254,51948,282,7434,927809,8090,8090,2207988,39,78,11217,65,242,50510,254,6916,867087
201502,13,3,5,Georgia,4445,4445,917448,7,14,1473,10,38,5553,32,1057,126856,3664,3664,772878,2,4,728,8,31,5235,23,989,121762
201502,15,4,9,Hawaii,409,409,140549,2,4,701,7,28,9095,21,806,242247,391,391,129908,2,4,701,7,28,9095,21,806,242247
201502,16,4,8,Idaho,923,923,199728,3,6,638,30,120,7390,2,16,1345,848,848,184257,1,2,212,30,120,7390,2,16,1345
201502,17,2,3,Illinois,786,786,217167,5,10,1192,6,19,2962,21,1245,117651,614,614,176679,3,6,640,5,16,2107,14,1198,113745
201502,18,2,3,Indiana,1176,1176,265172,15,30,3014,3,12,1411,19,213,26356,1057,1057,243093,15,30,3014,3,12,1411,11,156,23042
201502,19,2,4,Iowa,479,479,110136,2,4,477,3,10,1003,16,196,25442,355,355,86633,1,2,173,2,7,793,4,104,13391
201502,20,2,4,Kansas,510,510,117241,7,14,1561,1,4,480,13,416,46626,339,339,80156,4,8,970,1,4,480,11,401,45886
201502,21,3,6,Kentucky,882,882,147278,29,58,3840,16,56,4098,24,337,16114,471,471,72110,22,44,2350,10,36,1996,8,65,3666
201502,22,3,7,Louisiana,1991,1991,397366,24,48,4356,6,19,1480,33,695,65601,1197,1197,249856,12,24,2187,4,12,380,26,596,59205
201502,23,1,1,Maine,207,207,40721,0,0,0,1,4,540,4,35,5059,126,126,25745,0,0,0,1,4,540,2,25,1726
201502,24,3,5,Maryland,1379,1379,289025,2,4,1155,12,37,6916,15,699,64545,1259,1259,268910,1,2,800,0,0,0,13,524,48653
201502,25,1,1,Massachusetts,625,625,182992,21,42,5922,4,12,2175,42,1505,220864,439,439,125112,20,40,5740,1,3,200,27,1319,200615
201502,26,2,3,Michigan,1166,1166,262925,13,26,4062,2,6,937,15,143,13501,879,879,204856,13,26,4062,2,6,937,11,122,11888
