observation_date,MNICLAIMS
2001-01-06,6981
2001-01-13,12002
2001-01-20,5862
2001-01-27,6892
2001-02-03,6231
2001-02-10,5752
2001-02-17,4963
2001-02-24,5203
2001-03-03,5835
2001-03-10,5401
2001-03-17,5055
2001-03-24,5351
2001-03-31,4917
2001-04-07,5977
2001-04-14,5177
2001-04-21,5069
2001-04-28,4373
2001-05-05,4635
2001-05-12,4844
2001-05-19,5585
2001-05-26,6393
2001-06-02,5737
2001-06-09,6939
2001-06-16,5306
2001-06-23,6104
2001-06-30,5112
2001-07-07,6608
2001-07-14,6304
2001-07-21,5005
2001-07-28,3848
2001-08-04,4331
2001-08-11,4345
2001-08-18,3876
2001-08-25,3902
2001-09-01,4290
2001-09-08,3971
2001-09-15,4038
2001-09-22,4058
2001-09-29,5298
2001-10-06,5923
2001-10-13,5417
2001-10-20,5777
2001-10-27,5539
2001-11-03,6676
2001-11-10,7358
2001-11-17,7302
2001-11-24,8761
2001-12-01,12379
2001-12-08,10774
2001-12-15,8873
2001-12-22,8952
2001-12-29,11069
2002-01-05,10294
2002-01-12,11182
2002-01-19,8053
2002-01-26,6611
2002-02-02,7333
2002-02-09,8197
2002-02-16,6324
2002-02-23,6207
2002-03-02,6304
2002-03-09,6607
2002-03-16,5577
2002-03-23,6045
2002-03-30,5942
2002-04-06,7531
2002-04-13,6902
2002-04-20,5954
2002-04-27,4855
2002-05-04,5402
2002-05-11,5099
2002-05-18,5371
2002-05-25,5194
2002-06-01,4665
2002-06-08,6108
2002-06-15,6121
2002-06-22,5333
2002-06-29,5198
2002-07-06,6210
2002-07-13,5719
2002-07-20,4641
2002-07-27,4051
2002-08-03,4088
2002-08-10,4300
2002-08-17,3992
2002-08-24,4358
2002-08-31,3898
2002-09-07,4527
2002-09-14,4174
2002-09-21,4118
2002-09-28,4071
2002-10-05,4791
2002-10-12,4729
2002-10-19,4822
2002-10-26,5651
2002-11-02,6355
2002-11-09,7071
2002-11-16,7004
2002-11-23,8310
2002-11-30,8578
2002-12-07,12222
2002-12-14,9393
2002-12-21,10755
2002-12-28,11496
2003-01-04,9400
2003-01-11,11639
2003-01-18,8238
2003-01-25,7743
2003-02-01,6969
2003-02-08,7371
2003-02-15,6699
2003-02-22,6446
2003-03-01,6189
2003-03-08,7170
2003-03-15,6655
2003-03-22,6680
2003-03-29,6328
2003-04-05,7102
2003-04-12,7206
2003-04-19,6197
2003-04-26,5436
2003-05-03,5790
2003-05-10,5243
2003-05-17,5374
2003-05-24,5931
2003-05-31,5340
2003-06-07,6999
2003-06-14,7034
2003-06-21,5839
2003-06-28,5886
2003-07-05,6572
2003-07-12,7026
2003-07-19,5186
2003-07-26,4053
2003-08-02,4020
2003-08-09,4250
2003-08-16,3666
2003-08-23,3719
2003-08-30,3775
2003-09-06,4152
2003-09-13,4234
2003-09-20,3819
2003-09-27,3951
2003-10-04,4421
2003-10-11,6189
2003-10-18,4422
2003-10-25,4607
2003-11-01,5531
2003-11-08,8560
2003-11-15,6805
2003-11-22,7157
2003-11-29,9968
2003-12-06,10850
2003-12-13,9144
2003-12-20,9144
2003-12-27,10311
2004-01-03,8221
2004-01-10,11820
2004-01-17,7281
2004-01-24,6483
2004-01-31,6673
2004-02-07,7493
2004-02-14,5616
2004-02-21,5335
2004-02-28,5704
2004-03-06,7447
2004-03-13,5426
2004-03-20,5519
2004-03-27,5358
2004-04-03,5211
2004-04-10,4918
2004-04-17,4260
2004-04-24,4032
2004-05-01,3821
2004-05-08,5362
2004-05-15,3951
2004-05-22,4137
2004-05-29,5146
2004-06-05,5294
2004-06-12,5000
2004-06-19,4278
2004-06-26,4049
2004-07-03,5104
2004-07-10,5673
2004-07-17,4411
2004-07-24,3607
2004-07-31,3658
2004-08-07,4262
2004-08-14,3336
2004-08-21,3695
2004-08-28,3324
2004-09-04,3613
2004-09-11,3170
2004-09-18,3417
2004-09-25,3522
2004-10-02,3478
2004-10-09,5329
2004-10-16,3871
2004-10-23,3931
2004-10-30,4299
2004-11-06,5866
2004-11-13,5691
2004-11-20,8103
2004-11-27,7284
2004-12-04,10629
2004-12-11,8984
2004-12-18,9108
2004-12-25,11051
2005-01-01,8555
2005-01-08,11841
2005-01-15,6806
2005-01-22,6591
2005-01-29,5406
2005-02-05,7388
2005-02-12,5405
2005-02-19,5570
2005-02-26,5879
2005-03-05,6877
2005-03-12,5105
2005-03-19,5199
2005-03-26,4713
2005-04-02,5333
2005-04-09,5169
2005-04-16,6837
2005-04-23,4036
2005-04-30,4112
2005-05-07,4337
2005-05-14,5238
2005-05-21,5694
2005-05-28,5341
2005-06-04,4669
2005-06-11,4607
2005-06-18,4306
2005-06-25,3945
2005-07-02,5143
2005-07-09,5571
2005-07-16,4093
2005-07-23,4589
2005-07-30,3323
2005-08-06,3729
2005-08-13,3533
2005-08-20,3332
2005-08-27,4443
2005-09-03,4159
2005-09-10,3845
2005-09-17,3708
2005-09-24,3399
2005-10-01,4674
2005-10-08,4207
2005-10-15,3731
2005-10-22,3845
2005-10-29,4026
2005-11-05,5688
2005-11-12,4993
2005-11-19,9266
2005-11-26,6899
2005-12-03,11687
2005-12-10,9342
2005-12-17,7794
2005-12-24,8158
2005-12-31,8535
2006-01-07,10336
2006-01-14,7167
2006-01-21,5943
2006-01-28,5488
2006-02-04,7161
2006-02-11,5418
2006-02-18,5074
2006-02-25,4901
2006-03-04,5103
2006-03-11,5984
2006-03-18,4970
2006-03-25,5485
2006-04-01,5342
2006-04-08,5227
2006-04-15,4138
2006-04-22,4223
2006-04-29,5282
2006-05-06,4138
2006-05-13,4132
2006-05-20,4359
2006-05-27,5568
2006-06-03,4420
2006-06-10,4401
2006-06-17,4019
2006-06-24,3838
2006-07-01,4598
2006-07-08,4885
2006-07-15,4577
2006-07-22,4365
2006-07-29,3250
2006-08-05,3654
2006-08-12,3525
2006-08-19,3502
2006-08-26,3293
2006-09-02,3792
2006-09-09,3778
2006-09-16,4983
2006-09-23,3407
2006-09-30,3545
2006-10-07,5684
2006-10-14,4455
2006-10-21,4557
2006-10-28,5811
2006-11-04,6300
2006-11-11,6313
2006-11-18,8439
2006-11-25,7189
2006-12-02,10815
2006-12-09,9976
2006-12-16,7564
2006-12-23,9750
2006-12-30,9337
2007-01-06,8354
2007-01-13,13106
2007-01-20,6839
2007-01-27,5821
2007-02-03,5909
2007-02-10,6611
2007-02-17,5293
2007-02-24,4703
2007-03-03,4808
2007-03-10,5758
2007-03-17,5051
2007-03-24,5138
2007-03-31,4734
2007-04-07,5700
2007-04-14,4857
2007-04-21,4265
2007-04-28,3862
2007-05-05,4289
2007-05-12,4103
2007-05-19,4398
2007-05-26,4382
2007-06-02,5328
2007-06-09,5267
2007-06-16,4503
2007-06-23,3927
2007-06-30,4344
2007-07-07,5775
2007-07-14,4470
2007-07-21,3628
2007-07-28,3492
2007-08-04,3901
2007-08-11,3733
2007-08-18,3621
2007-08-25,4057
2007-09-01,4095
2007-09-08,3739
2007-09-15,3904
2007-09-22,4139
2007-09-29,3748
2007-10-06,4340
2007-10-13,3611
2007-10-20,4186
2007-10-27,4458
2007-11-03,4952
2007-11-10,5929
2007-11-17,5990
2007-11-24,6774
2007-12-01,9783
2007-12-08,9883
2007-12-15,7610
2007-12-22,7549
2007-12-29,7819
2008-01-05,8145
2008-01-12,7967
2008-01-19,6332
2008-01-26,5788
2008-02-02,5379
2008-02-09,5114
2008-02-16,4938
2008-02-23,5023
2008-03-01,4596
2008-03-08,4825
2008-03-15,4477
2008-03-22,4733
2008-03-29,4575
2008-04-05,5181
