Series ID,Year,Period,Label,Value
SMS27000000000000001,2005,M01,2005 Jan,2682.2
SMS27000000000000001,2005,M02,2005 Feb,2690.5
SMS27000000000000001,2005,M03,2005 Mar,2693.8
SMS27000000000000001,2005,M04,2005 Apr,2713.4
SMS27000000000000001,2005,M05,2005 May,2721.8
SMS27000000000000001,2005,M06,2005 Jun,2718.2
SMS27000000000000001,2005,M07,2005 Jul,2728.3
SMS27000000000000001,2005,M08,2005 Aug,2732.6
SMS27000000000000001,2005,M09,2005 Sep,2737.3
SMS27000000000000001,2005,M10,2005 Oct,2738.2
SMS27000000000000001,2005,M11,2005 Nov,2742.2
SMS27000000000000001,2005,M12,2005 Dec,2746.4
SMS27000000000000001,2006,M01,2006 Jan,2754.9
SMS27000000000000001,2006,M02,2006 Feb,2755.7
SMS27000000000000001,2006,M03,2006 Mar,2761.6
SMS27000000000000001,2006,M04,2006 Apr,2756.9
SMS27000000000000001,2006,M05,2006 May,2751.2
SMS27000000000000001,2006,M06,2006 Jun,2759.2
SMS27000000000000001,2006,M07,2006 Jul,2757.0
SMS27000000000000001,2006,M08,2006 Aug,2755.9
SMS27000000000000001,2006,M09,2006 Sep,2756.9
SMS27000000000000001,2006,M10,2006 Oct,2749.6
SMS27000000000000001,2006,M11,2006 Nov,2753.9
SMS27000000000000001,2006,M12,2006 Dec,2760.7
SMS27000000000000001,2007,M01,2007 Jan,2765.0
SMS27000000000000001,2007,M02,2007 Feb,2766.6
SMS27000000000000001,2007,M03,2007 Mar,2768.3
SMS27000000000000001,2007,M04,2007 Apr,2767.5
SMS27000000000000001,2007,M05,2007 May,2768.5
SMS27000000000000001,2007,M06,2007 Jun,2771.9
SMS27000000000000001,2007,M07,2007 Jul,2773.5
SMS27000000000000001,2007,M08,2007 Aug,2770.6
SMS27000000000000001,2007,M09,2007 Sep,2768.1
SMS27000000000000001,2007,M10,2007 Oct,2765.6
SMS27000000000000001,2007,M11,2007 Nov,2768.6
SMS27000000000000001,2007,M12,2007 Dec,2769.5
SMS27000000000000001,2008,M01,2008 Jan,2772.7
SMS27000000000000001,2008,M02,2008 Feb,2776.9
SMS27000000000000001,2008,M03,2008 Mar,2775.6
SMS27000000000000001,2008,M04,2008 Apr,2767.0
SMS27000000000000001,2008,M05,2008 May,2768.1
SMS27000000000000001,2008,M06,2008 Jun,2765.6
SMS27000000000000001,2008,M07,2008 Jul,2763.9
SMS27000000000000001,2008,M08,2008 Aug,2761.7
SMS27000000000000001,2008,M09,2008 Sep,2757.3
SMS27000000000000001,2008,M10,2008 Oct,2751.8
SMS27000000000000001,2008,M11,2008 Nov,2739.4
SMS27000000000000001,2008,M12,2008 Dec,2725.7
SMS27000000000000001,2009,M01,2009 Jan,2708.6
SMS27000000000000001,2009,M02,2009 Feb,2693.5
SMS27000000000000001,2009,M03,2009 Mar,2677.1
SMS27000000000000001,2009,M04,2009 Apr,2661.5
SMS27000000000000001,2009,M05,2009 May,2658.3
SMS27000000000000001,2009,M06,2009 Jun,2643.7
SMS27000000000000001,2009,M07,2009 Jul,2640.9
SMS27000000000000001,2009,M08,2009 Aug,2633.1
SMS27000000000000001,2009,M09,2009 Sep,2618.0
SMS27000000000000001,2009,M10,2009 Oct,2629.3
SMS27000000000000001,2009,M11,2009 Nov,2628.1
SMS27000000000000001,2009,M12,2009 Dec,2629.2
SMS27000000000000001,2010,M01,2010 Jan,2625.6
SMS27000000000000001,2010,M02,2010 Feb,2623.3
SMS27000000000000001,2010,M03,2010 Mar,2625.8
SMS27000000000000001,2010,M04,2010 Apr,2635.9
SMS27000000000000001,2010,M05,2010 May,2637.7
SMS27000000000000001,2010,M06,2010 Jun,2636.8
SMS27000000000000001,2010,M07,2010 Jul,2635.9
SMS27000000000000001,2010,M08,2010 Aug,2638.9
SMS27000000000000001,2010,M09,2010 Sep,2634.8
SMS27000000000000001,2010,M10,2010 Oct,2649.9
SMS27000000000000001,2010,M11,2010 Nov,2652.7
SMS27000000000000001,2010,M12,2010 Dec,2651.8
SMS27000000000000001,2011,M01,2011 Jan,2660.6
SMS27000000000000001,2011,M02,2011 Feb,2663.8
SMS27000000000000001,2011,M03,2011 Mar,2667.3
SMS27000000000000001,2011,M04,2011 Apr,2674.3
SMS27000000000000001,2011,M05,2011 May,2681.5
SMS27000000000000001,2011,M06,2011 Jun,2682.2
SMS27000000000000001,2011,M07,2011 Jul,2664.8
