observation_date,NDICLAIMS
2001-01-06,1009
2001-01-13,1758
2001-01-20,739
2001-01-27,687
2001-02-03,578
2001-02-10,612
2001-02-17,583
2001-02-24,538
2001-03-03,799
2001-03-10,501
2001-03-17,415
2001-03-24,378
2001-03-31,409
2001-04-07,613
2001-04-14,457
2001-04-21,471
2001-04-28,308
2001-05-05,395
2001-05-12,297
2001-05-19,386
2001-05-26,484
2001-06-02,580
2001-06-09,493
2001-06-16,471
2001-06-23,359
2001-06-30,482
2001-07-07,1460
2001-07-14,481
2001-07-21,646
2001-07-28,369
2001-08-04,414
2001-08-11,439
2001-08-18,417
2001-08-25,253
2001-09-01,1374
2001-09-08,282
2001-09-15,246
2001-09-22,251
2001-09-29,313
2001-10-06,349
2001-10-13,439
2001-10-20,391
2001-10-27,542
2001-11-03,603
2001-11-10,623
2001-11-17,619
2001-11-24,906
2001-12-01,1371
2001-12-08,1227
2001-12-15,986
2001-12-22,1134
2001-12-29,1288
2002-01-05,899
2002-01-12,1757
2002-01-19,836
2002-01-26,682
2002-02-02,748
2002-02-09,645
2002-02-16,513
2002-02-23,490
2002-03-02,632
2002-03-09,605
2002-03-16,552
2002-03-23,877
2002-03-30,543
2002-04-06,638
2002-04-13,739
2002-04-20,443
2002-04-27,559
2002-05-04,476
2002-05-11,562
2002-05-18,637
2002-05-25,476
2002-06-01,451
2002-06-08,532
2002-06-15,453
2002-06-22,665
2002-06-29,835
2002-07-06,449
2002-07-13,541
2002-07-20,472
2002-07-27,533
2002-08-03,480
2002-08-10,398
2002-08-17,357
2002-08-24,319
2002-08-31,281
2002-09-07,371
2002-09-14,257
2002-09-21,283
2002-09-28,339
2002-10-05,385
2002-10-12,785
2002-10-19,498
2002-10-26,1155
2002-11-02,742
2002-11-09,664
2002-11-16,1364
2002-11-23,984
2002-11-30,1101
2002-12-07,1201
2002-12-14,902
2002-12-21,1319
2002-12-28,1188
2003-01-04,844
2003-01-11,1969
2003-01-18,1004
2003-01-25,795
2003-02-01,650
2003-02-08,728
2003-02-15,604
2003-02-22,533
2003-03-01,857
2003-03-08,779
2003-03-15,508
2003-03-22,442
2003-03-29,404
2003-04-05,422
2003-04-12,667
2003-04-19,506
2003-04-26,629
2003-05-03,435
2003-05-10,502
2003-05-17,398
2003-05-24,486
2003-05-31,617
2003-06-07,651
2003-06-14,418
2003-06-21,327
2003-06-28,439
2003-07-05,417
2003-07-12,518
2003-07-19,382
2003-07-26,333
2003-08-02,628
2003-08-09,653
2003-08-16,345
2003-08-23,289
2003-08-30,288
2003-09-06,219
2003-09-13,235
2003-09-20,216
2003-09-27,259
2003-10-04,287
2003-10-11,383
2003-10-18,354
2003-10-25,445
2003-11-01,602
2003-11-08,1134
2003-11-15,836
2003-11-22,875
2003-11-29,1153
2003-12-06,1060
2003-12-13,888
2003-12-20,1032
2003-12-27,935
2004-01-03,936
2004-01-10,1880
2004-01-17,809
2004-01-24,647
2004-01-31,851
2004-02-07,720
2004-02-14,504
2004-02-21,458
2004-02-28,436
2004-03-06,450
2004-03-13,381
2004-03-20,401
2004-03-27,488
2004-04-03,282
2004-04-10,370
2004-04-17,367
2004-04-24,279
2004-05-01,236
2004-05-08,292
2004-05-15,348
2004-05-22,268
2004-05-29,598
2004-06-05,428
2004-06-12,357
2004-06-19,273
2004-06-26,230
2004-07-03,306
2004-07-10,483
2004-07-17,320
2004-07-24,294
2004-07-31,247
2004-08-07,324
2004-08-14,244
2004-08-21,250
2004-08-28,282
2004-09-04,213
2004-09-11,207
2004-09-18,239
2004-09-25,379
2004-10-02,225
2004-10-09,358
2004-10-16,309
2004-10-23,411
2004-10-30,456
2004-11-06,608
2004-11-13,567
2004-11-20,741
2004-11-27,878
2004-12-04,1151
2004-12-11,1103
2004-12-18,1003
2004-12-25,1237
