Series ID,Year,Period,Label,Value
SMS38000000000000001,2005,M01,2005 Jan,341.3
SMS38000000000000001,2005,M02,2005 Feb,342.8
SMS38000000000000001,2005,M03,2005 Mar,343.1
SMS38000000000000001,2005,M04,2005 Apr,345.0
SMS38000000000000001,2005,M05,2005 May,345.0
SMS38000000000000001,2005,M06,2005 Jun,345.0
SMS38000000000000001,2005,M07,2005 Jul,345.3
SMS38000000000000001,2005,M08,2005 Aug,345.9
SMS38000000000000001,2005,M09,2005 Sep,346.8
SMS38000000000000001,2005,M10,2005 Oct,345.7
SMS38000000000000001,2005,M11,2005 Nov,346.6
SMS38000000000000001,2005,M12,2005 Dec,347.6
SMS38000000000000001,2006,M01,2006 Jan,348.3
SMS38000000000000001,2006,M02,2006 Feb,350.1
SMS38000000000000001,2006,M03,2006 Mar,351.6
SMS38000000000000001,2006,M04,2006 Apr,352.3
SMS38000000000000001,2006,M05,2006 May,352.0
SMS38000000000000001,2006,M06,2006 Jun,352.3
SMS38000000000000001,2006,M07,2006 Jul,351.5
SMS38000000000000001,2006,M08,2006 Aug,353.0
SMS38000000000000001,2006,M09,2006 Sep,354.0
SMS38000000000000001,2006,M10,2006 Oct,353.6
SMS38000000000000001,2006,M11,2006 Nov,354.5
SMS38000000000000001,2006,M12,2006 Dec,356.1
SMS38000000000000001,2007,M01,2007 Jan,356.1
SMS38000000000000001,2007,M02,2007 Feb,355.9
SMS38000000000000001,2007,M03,2007 Mar,357.3
SMS38000000000000001,2007,M04,2007 Apr,356.8
SMS38000000000000001,2007,M05,2007 May,357.9
SMS38000000000000001,2007,M06,2007 Jun,358.5
SMS38000000000000001,2007,M07,2007 Jul,358.9
SMS38000000000000001,2007,M08,2007 Aug,358.7
SMS38000000000000001,2007,M09,2007 Sep,359.3
SMS38000000000000001,2007,M10,2007 Oct,360.5
SMS38000000000000001,2007,M11,2007 Nov,362.0
SMS38000000000000001,2007,M12,2007 Dec,362.3
SMS38000000000000001,2008,M01,2008 Jan,364.4
SMS38000000000000001,2008,M02,2008 Feb,365.7
SMS38000000000000001,2008,M03,2008 Mar,366.7
SMS38000000000000001,2008,M04,2008 Apr,366.5
SMS38000000000000001,2008,M05,2008 May,366.9
SMS38000000000000001,2008,M06,2008 Jun,367.0
SMS38000000000000001,2008,M07,2008 Jul,369.0
SMS38000000000000001,2008,M08,2008 Aug,368.1
SMS38000000000000001,2008,M09,2008 Sep,368.8
SMS38000000000000001,2008,M10,2008 Oct,368.8
SMS38000000000000001,2008,M11,2008 Nov,369.3
SMS38000000000000001,2008,M12,2008 Dec,368.6
SMS38000000000000001,2009,M01,2009 Jan,366.6
SMS38000000000000001,2009,M02,2009 Feb,367.1
SMS38000000000000001,2009,M03,2009 Mar,366.4
SMS38000000000000001,2009,M04,2009 Apr,363.6
SMS38000000000000001,2009,M05,2009 May,367.2
SMS38000000000000001,2009,M06,2009 Jun,367.2
SMS38000000000000001,2009,M07,2009 Jul,366.7
SMS38000000000000001,2009,M08,2009 Aug,366.5
SMS38000000000000001,2009,M09,2009 Sep,367.9
SMS38000000000000001,2009,M10,2009 Oct,367.8
SMS38000000000000001,2009,M11,2009 Nov,368.6
SMS38000000000000001,2009,M12,2009 Dec,368.9
SMS38000000000000001,2010,M01,2010 Jan,369.0
SMS38000000000000001,2010,M02,2010 Feb,370.3
SMS38000000000000001,2010,M03,2010 Mar,372.0
SMS38000000000000001,2010,M04,2010 Apr,375.3
SMS38000000000000001,2010,M05,2010 May,375.9
SMS38000000000000001,2010,M06,2010 Jun,375.0
SMS38000000000000001,2010,M07,2010 Jul,376.2
SMS38000000000000001,2010,M08,2010 Aug,377.1
SMS38000000000000001,2010,M09,2010 Sep,378.4
SMS38000000000000001,2010,M10,2010 Oct,382.2
SMS38000000000000001,2010,M11,2010 Nov,383.3
SMS38000000000000001,2010,M12,2010 Dec,385.0
SMS38000000000000001,2011,M01,2011 Jan,386.0
SMS38000000000000001,2011,M02,2011 Feb,387.4
SMS38000000000000001,2011,M03,2011 Mar,389.5
SMS38000000000000001,2011,M04,2011 Apr,390.9
