observation_date,OHICLAIMS
2001-01-06,26744
2001-01-13,25662
2001-01-20,18704
2001-01-27,18330
2001-02-03,19769
2001-02-10,26552
2001-02-17,13194
2001-02-24,12012
2001-03-03,13544
2001-03-10,18189
2001-03-17,12034
2001-03-24,11371
2001-03-31,11961
2001-04-07,12414
2001-04-14,11437
2001-04-21,12651
2001-04-28,12979
2001-05-05,11408
2001-05-12,12560
2001-05-19,11974
2001-05-26,11080
2001-06-02,14271
2001-06-09,13918
2001-06-16,12734
2001-06-23,10745
2001-06-30,11679
2001-07-07,16910
2001-07-14,22326
2001-07-21,21394
2001-07-28,12995
2001-08-04,12519
2001-08-11,10829
2001-08-18,10321
2001-08-25,10919
2001-09-01,11409
2001-09-08,12233
2001-09-15,10086
2001-09-22,11499
2001-09-29,15224
2001-10-06,14076
2001-10-13,13769
2001-10-20,15062
2001-10-27,16403
2001-11-03,15504
2001-11-10,16956
2001-11-17,15194
2001-11-24,15570
2001-12-01,20911
2001-12-08,21396
2001-12-15,18572
2001-12-22,23162
2001-12-29,25875
2002-01-05,30489
2002-01-12,33949
2002-01-19,23473
2002-01-26,17017
2002-02-02,16784
2002-02-09,16032
2002-02-16,12398
2002-02-23,12887
2002-03-02,14123
2002-03-09,14333
2002-03-16,12247
2002-03-23,12830
2002-03-30,14291
2002-04-06,15049
2002-04-13,16021
2002-04-20,14099
2002-04-27,13981
2002-05-04,13313
2002-05-11,15363
2002-05-18,14298
2002-05-25,12700
2002-06-01,11522
2002-06-08,13898
2002-06-15,13026
2002-06-22,12194
2002-06-29,11554
2002-07-06,14926
2002-07-13,16162
2002-07-20,20017
2002-07-27,13563
2002-08-03,12875
2002-08-10,11711
2002-08-17,10419
2002-08-24,10713
2002-08-31,9810
2002-09-07,9343
2002-09-14,14974
2002-09-21,12762
2002-09-28,11052
2002-10-05,12911
2002-10-12,14053
2002-10-19,12133
2002-10-26,13515
2002-11-02,14531
2002-11-09,16585
2002-11-16,15076
2002-11-23,15754
2002-11-30,15845
2002-12-07,22892
2002-12-14,18756
