Series ID,Year,Period,Label,Value
SMS39000000000000001,1990,M01,1990 Jan,4841.2
SMS39000000000000001,1990,M02,1990 Feb,4865.3
SMS39000000000000001,1990,M03,1990 Mar,4877.2
SMS39000000000000001,1990,M04,1990 Apr,4888.8
SMS39000000000000001,1990,M05,1990 May,4895.4
SMS39000000000000001,1990,M06,1990 Jun,4904.8
SMS39000000000000001,1990,M07,1990 Jul,4900.5
SMS39000000000000001,1990,M08,1990 Aug,4899.7
SMS39000000000000001,1990,M09,1990 Sep,4899.5
SMS39000000000000001,1990,M10,1990 Oct,4883.7
SMS39000000000000001,1990,M11,1990 Nov,4868.7
SMS39000000000000001,1990,M12,1990 Dec,4861.6
SMS39000000000000001,1991,M01,1991 Jan,4848.4
SMS39000000000000001,1991,M02,1991 Feb,4820.0
SMS39000000000000001,1991,M03,1991 Mar,4818.0
SMS39000000000000001,1991,M04,1991 Apr,4811.1
SMS39000000000000001,1991,M05,1991 May,4802.3
SMS39000000000000001,1991,M06,1991 Jun,4808.8
SMS39000000000000001,1991,M07,1991 Jul,4822.2
SMS39000000000000001,1991,M08,1991 Aug,4817.0
SMS39000000000000001,1991,M09,1991 Sep,4822.6
SMS39000000000000001,1991,M10,1991 Oct,4817.7
SMS39000000000000001,1991,M11,1991 Nov,4821.8
SMS39000000000000001,1991,M12,1991 Dec,4814.6
SMS39000000000000001,1992,M01,1992 Jan,4823.4
SMS39000000000000001,1992,M02,1992 Feb,4827.5
SMS39000000000000001,1992,M03,1992 Mar,4828.1
SMS39000000000000001,1992,M04,1992 Apr,4855.7
SMS39000000000000001,1992,M05,1992 May,4860.2
SMS39000000000000001,1992,M06,1992 Jun,4851.0
SMS39000000000000001,1992,M07,1992 Jul,4856.7
SMS39000000000000001,1992,M08,1992 Aug,4847.5
SMS39000000000000001,1992,M09,1992 Sep,4839.9
SMS39000000000000001,1992,M10,1992 Oct,4863.2
SMS39000000000000001,1992,M11,1992 Nov,4854.0
SMS39000000000000001,1992,M12,1992 Dec,4858.1
SMS39000000000000001,1993,M01,1993 Jan,4885.6
SMS39000000000000001,1993,M02,1993 Feb,4889.2
SMS39000000000000001,1993,M03,1993 Mar,4873.9
SMS39000000000000001,1993,M04,1993 Apr,4882.2
SMS39000000000000001,1993,M05,1993 May,4894.1
SMS39000000000000001,1993,M06,1993 Jun,4903.4
SMS39000000000000001,1993,M07,1993 Jul,4920.0
SMS39000000000000001,1993,M08,1993 Aug,4930.4
SMS39000000000000001,1993,M09,1993 Sep,4944.4
SMS39000000000000001,1993,M10,1993 Oct,4956.1
SMS39000000000000001,1993,M11,1993 Nov,4965.0
SMS39000000000000001,1993,M12,1993 Dec,4977.3
SMS39000000000000001,1994,M01,1994 Jan,5007.5
SMS39000000000000001,1994,M02,1994 Feb,5024.2
SMS39000000000000001,1994,M03,1994 Mar,5041.9
SMS39000000000000001,1994,M04,1994 Apr,5042.6
SMS39000000000000001,1994,M05,1994 May,5058.3
SMS39000000000000001,1994,M06,1994 Jun,5065.8
SMS39000000000000001,1994,M07,1994 Jul,5071.5
SMS39000000000000001,1994,M08,1994 Aug,5080.2
SMS39000000000000001,1994,M09,1994 Sep,5103.4
SMS39000000000000001,1994,M10,1994 Oct,5122.2
SMS39000000000000001,1994,M11,1994 Nov,5139.6
SMS39000000000000001,1994,M12,1994 Dec,5160.1
SMS39000000000000001,1995,M01,1995 Jan,5168.3
SMS39000000000000001,1995,M02,1995 Feb,5178.6
SMS39000000000000001,1995,M03,1995 Mar,5200.3
SMS39000000000000001,1995,M04,1995 Apr,5211.2
SMS39000000000000001,1995,M05,1995 May,5210.4
SMS39000000000000001,1995,M06,1995 Jun,5226.4
SMS39000000000000001,1995,M07,1995 Jul,5215.7
SMS39000000000000001,1995,M08,1995 Aug,5232.9
SMS39000000000000001,1995,M09,1995 Sep,5251.8
SMS39000000000000001,1995,M10,1995 Oct,5245.6
SMS39000000000000001,1995,M11,1995 Nov,5253.9
SMS39000000000000001,1995,M12,1995 Dec,5259.5
SMS39000000000000001,1996,M01,1996 Jan,5255.8
SMS39000000000000001,1996,M02,1996 Feb,5275.4
SMS39000000000000001,1996,M03,1996 Mar,5267.0
SMS39000000000000001,1996,M04,1996 Apr,5279.1
SMS39000000000000001,1996,M05,1996 May,5289.2
SMS39000000000000001,1996,M06,1996 Jun,5300.6
SMS39000000000000001,1996,M07,1996 Jul,5301.8
SMS39000000000000001,1996,M08,1996 Aug,5310.9
SMS39000000000000001,1996,M09,1996 Sep,5305.8
SMS39000000000000001,1996,M10,1996 Oct,5316.5
SMS39000000000000001,1996,M11,1996 Nov,5324.4
SMS39000000000000001,1996,M12,1996 Dec,5328.3
SMS39000000000000001,1997,M01,1997 Jan,5340.8
SMS39000000000000001,1997,M02,1997 Feb,5347.3
SMS39000000000000001,1997,M03,1997 Mar,5361.5
SMS39000000000000001,1997,M04,1997 Apr,5371.7
SMS39000000000000001,1997,M05,1997 May,5385.1
SMS39000000000000001,1997,M06,1997 Jun,5390.9
SMS39000000000000001,1997,M07,1997 Jul,5400.4
SMS39000000000000001,1997,M08,1997 Aug,5406.2
SMS39000000000000001,1997,M09,1997 Sep,5414.5
SMS39000000000000001,1997,M10,1997 Oct,5420.6
SMS39000000000000001,1997,M11,1997 Nov,5428.0
SMS39000000000000001,1997,M12,1997 Dec,5436.5
SMS39000000000000001,1998,M01,1998 Jan,5444.4
SMS39000000000000001,1998,M02,1998 Feb,5452.3
SMS39000000000000001,1998,M03,1998 Mar,5455.9
SMS39000000000000001,1998,M04,1998 Apr,5469.3
SMS39000000000000001,1998,M05,1998 May,5485.2
SMS39000000000000001,1998,M06,1998 Jun,5483.6
SMS39000000000000001,1998,M07,1998 Jul,5454.9
SMS39000000000000001,1998,M08,1998 Aug,5492.3
SMS39000000000000001,1998,M09,1998 Sep,5498.5
SMS39000000000000001,1998,M10,1998 Oct,5509.2
SMS39000000000000001,1998,M11,1998 Nov,5513.3
SMS39000000000000001,1998,M12,1998 Dec,5516.8
SMS39000000000000001,1999,M01,1999 Jan,5491.0
SMS39000000000000001,1999,M02,1999 Feb,5526.5
SMS39000000000000001,1999,M03,1999 Mar,5527.8
SMS39000000000000001,1999,M04,1999 Apr,5549.9
SMS39000000000000001,1999,M05,1999 May,5549.3
SMS39000000000000001,1999,M06,1999 Jun,5550.5
SMS39000000000000001,1999,M07,1999 Jul,5579.6
SMS39000000000000001,1999,M08,1999 Aug,5578.9
SMS39000000000000001,1999,M09,1999 Sep,5584.1
SMS39000000000000001,1999,M10,1999 Oct,5593.8
SMS39000000000000001,1999,M11,1999 Nov,5606.4
SMS39000000000000001,1999,M12,1999 Dec,5625.8
SMS39000000000000001,2000,M01,2000 Jan,5617.9
SMS39000000000000001,2000,M02,2000 Feb,5618.4
SMS39000000000000001,2000,M03,2000 Mar,5632.0
SMS39000000000000001,2000,M04,2000 Apr,5629.4
SMS39000000000000001,2000,M05,2000 May,5638.2
SMS39000000000000001,2000,M06,2000 Jun,5636.4
SMS39000000000000001,2000,M07,2000 Jul,5629.7
SMS39000000000000001,2000,M08,2000 Aug,5626.7
SMS39000000000000001,2000,M09,2000 Sep,5619.6
SMS39000000000000001,2000,M10,2000 Oct,5619.5
SMS39000000000000001,2000,M11,2000 Nov,5618.8
SMS39000000000000001,2000,M12,2000 Dec,5615.2
SMS39000000000000001,2001,M01,2001 Jan,5603.2
SMS39000000000000001,2001,M02,2001 Feb,5596.8
SMS39000000000000001,2001,M03,2001 Mar,5591.3
SMS39000000000000001,2001,M04,2001 Apr,5577.8
SMS39000000000000001,2001,M05,2001 May,5565.9
SMS39000000000000001,2001,M06,2001 Jun,5558.3
SMS39000000000000001,2001,M07,2001 Jul,5531.9
SMS39000000000000001,2001,M08,2001 Aug,5521.2
SMS39000000000000001,2001,M09,2001 Sep,5505.5
SMS39000000000000001,2001,M10,2001 Oct,5496.8
SMS39000000000000001,2001,M11,2001 Nov,5484.7
SMS39000000000000001,2001,M12,2001 Dec,5473.5
SMS39000000000000001,2002,M01,2002 Jan,5464.9
SMS39000000000000001,2002,M02,2002 Feb,5462.3
SMS39000000000000001,2002,M03,2002 Mar,5457.7
SMS39000000000000001,2002,M04,2002 Apr,5446.1
SMS39000000000000001,2002,M05,2002 May,5446.0
SMS39000000000000001,2002,M06,2002 Jun,5442.8
SMS39000000000000001,2002,M07,2002 Jul,5444.2
SMS39000000000000001,2002,M08,2002 Aug,5442.7
SMS39000000000000001,2002,M09,2002 Sep,5442.3
SMS39000000000000001,2002,M10,2002 Oct,5435.6
SMS39000000000000001,2002,M11,2002 Nov,5430.4
SMS39000000000000001,2002,M12,2002 Dec,5421.0
SMS39000000000000001,2003,M01,2003 Jan,5423.0
SMS39000000000000001,2003,M02,2003 Feb,5407.9
SMS39000000000000001,2003,M03,2003 Mar,5398.7
SMS39000000000000001,2003,M04,2003 Apr,5405.5
SMS39000000000000001,2003,M05,2003 May,5404.7
SMS39000000000000001,2003,M06,2003 Jun,5391.1
SMS39000000000000001,2003,M07,2003 Jul,5390.1
SMS39000000000000001,2003,M08,2003 Aug,5390.5
SMS39000000000000001,2003,M09,2003 Sep,5386.2
SMS39000000000000001,2003,M10,2003 Oct,5392.6
SMS39000000000000001,2003,M11,2003 Nov,5387.3
SMS39000000000000001,2003,M12,2003 Dec,5388.0
SMS39000000000000001,2004,M01,2004 Jan,5390.4
SMS39000000000000001,2004,M02,2004 Feb,5394.3
SMS39000000000000001,2004,M03,2004 Mar,5402.6
SMS39000000000000001,2004,M04,2004 Apr,5405.1
SMS39000000000000001,2004,M05,2004 May,5403.8
SMS39000000000000001,2004,M06,2004 Jun,5406.4
