Series ID,Year,Period,Label,Value
SMU39000003000000007,2001,M01,2001 Jan,41.3
SMU39000003000000007,2001,M02,2001 Feb,40.9
SMU39000003000000007,2001,M03,2001 Mar,40.9
SMU39000003000000007,2001,M04,2001 Apr,40.2
SMU39000003000000007,2001,M05,2001 May,41.2
SMU39000003000000007,2001,M06,2001 Jun,41.1
SMU39000003000000007,2001,M07,2001 Jul,40.7
SMU39000003000000007,2001,M08,2001 Aug,41.2
SMU39000003000000007,2001,M09,2001 Sep,41.6
SMU39000003000000007,2001,M10,2001 Oct,40.9
SMU39000003000000007,2001,M11,2001 Nov,41.6
SMU39000003000000007,2001,M12,2001 Dec,42.4
SMU39000003000000007,2002,M01,2002 Jan,40.7
SMU39000003000000007,2002,M02,2002 Feb,40.8
SMU39000003000000007,2002,M03,2002 Mar,41.5
SMU39000003000000007,2002,M04,2002 Apr,41.4
SMU39000003000000007,2002,M05,2002 May,41.7
SMU39000003000000007,2002,M06,2002 Jun,41.7
SMU39000003000000007,2002,M07,2002 Jul,40.4
SMU39000003000000007,2002,M08,2002 Aug,41.5
SMU39000003000000007,2002,M09,2002 Sep,41.9
SMU39000003000000007,2002,M10,2002 Oct,41.4
SMU39000003000000007,2002,M11,2002 Nov,41.2
SMU39000003000000007,2002,M12,2002 Dec,42.1
SMU39000003000000007,2003,M01,2003 Jan,41.5
SMU39000003000000007,2003,M02,2003 Feb,41.1
SMU39000003000000007,2003,M03,2003 Mar,41.4
SMU39000003000000007,2003,M04,2003 Apr,40.8
SMU39000003000000007,2003,M05,2003 May,41.1
SMU39000003000000007,2003,M06,2003 Jun,40.6
SMU39000003000000007,2003,M07,2003 Jul,39.4
SMU39000003000000007,2003,M08,2003 Aug,40.1
SMU39000003000000007,2003,M09,2003 Sep,41.3
SMU39000003000000007,2003,M10,2003 Oct,41.4
SMU39000003000000007,2003,M11,2003 Nov,41.3
SMU39000003000000007,2003,M12,2003 Dec,41.7
SMU39000003000000007,2004,M01,2004 Jan,41.4
SMU39000003000000007,2004,M02,2004 Feb,41.4
SMU39000003000000007,2004,M03,2004 Mar,41.3
SMU39000003000000007,2004,M04,2004 Apr,41.1
SMU39000003000000007,2004,M05,2004 May,41.9
SMU39000003000000007,2004,M06,2004 Jun,42.0
SMU39000003000000007,2004,M07,2004 Jul,40.7
SMU39000003000000007,2004,M08,2004 Aug,41.8
SMU39000003000000007,2004,M09,2004 Sep,42.2
SMU39000003000000007,2004,M10,2004 Oct,41.8
SMU39000003000000007,2004,M11,2004 Nov,42.1
SMU39000003000000007,2004,M12,2004 Dec,42.6
SMU39000003000000007,2005,M01,2005 Jan,41.8
SMU39000003000000007,2005,M02,2005 Feb,42.0
SMU39000003000000007,2005,M03,2005 Mar,41.4
SMU39000003000000007,2005,M04,2005 Apr,41.0
SMU39000003000000007,2005,M05,2005 May,41.4
SMU39000003000000007,2005,M06,2005 Jun,41.5
SMU39000003000000007,2005,M07,2005 Jul,40.0
SMU39000003000000007,2005,M08,2005 Aug,41.6
SMU39000003000000007,2005,M09,2005 Sep,42.1
SMU39000003000000007,2005,M10,2005 Oct,41.8
SMU39000003000000007,2005,M11,2005 Nov,41.4
SMU39000003000000007,2005,M12,2005 Dec,41.4
SMU39000003000000007,2006,M01,2006 Jan,40.9
SMU39000003000000007,2006,M02,2006 Feb,41.6
SMU39000003000000007,2006,M03,2006 Mar,41.6
SMU39000003000000007,2006,M04,2006 Apr,40.4
SMU39000003000000007,2006,M05,2006 May,41.5
SMU39000003000000007,2006,M06,2006 Jun,41.6
SMU39000003000000007,2006,M07,2006 Jul,41.2
SMU39000003000000007,2006,M08,2006 Aug,41.6
SMU39000003000000007,2006,M09,2006 Sep,41.5
SMU39000003000000007,2006,M10,2006 Oct,41.5
SMU39000003000000007,2006,M11,2006 Nov,41.8
SMU39000003000000007,2006,M12,2006 Dec,42.0
SMU39000003000000007,2007,M01,2007 Jan,41.6
SMU39000003000000007,2007,M02,2007 Feb,39.2
SMU39000003000000007,2007,M03,2007 Mar,41.4
SMU39000003000000007,2007,M04,2007 Apr,41.2
SMU39000003000000007,2007,M05,2007 May,41.7
SMU39000003000000007,2007,M06,2007 Jun,42.2
SMU39000003000000007,2007,M07,2007 Jul,41.3
SMU39000003000000007,2007,M08,2007 Aug,42.5
