Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201604,01,3,6,Alabama,926,926,198865,2,4,294,11,38,3079,18,479,30763,678,678,153088,1,2,106,8,27,1899,12,384,22788
201604,02,4,9,Alaska,98,98,27311,1,2,282,1,3,523,2,53,5717,23,23,4618,1,2,282,0,0,0,1,42,3978
201604,04,4,8,Arizona,2230,2230,586973,26,52,4620,6,19,2958,27,276,37562,1851,1851,476935,25,50,4274,6,19,2958,16,202,29299
201604,05,3,7,Arkansas,670,670,126154,21,42,2760,19,59,3375,5,30,1856,544,544,105540,21,42,2760,19,59,3375,2,13,735
201604,06,4,9,California,4370,4370,1276458,36,72,14163,17,57,11285,114,3426,621078,3574,3574,1038688,34,68,13156,15,51,10251,81,2965,555736
201604,08,4,8,Colorado,2016,2016,615343,5,10,1429,3,11,2221,21,998,121282,1765,1765,549599,3,6,772,2,8,1172,16,968,117866
201604,09,1,1,Connecticut,228,228,71842,3,6,550,0,0,0,7,146,28961,179,179,45861,3,6,550,0,0,0,5,131,27732
201604,10,3,5,Delaware,452,452,57116,5,10,363,1,3,424,6,108,4027,445,445,56477,5,10,363,1,3,424,5,102,3931
201604,11,3,5,District of Columbia,19,19,4329,3,6,641,0,0,0,0,0,0,19,19,4329,3,6,641,0,0,0,0,0,0
201604,12,3,5,Florida,6144,6144,1675014,35,70,13396,26,100,17251,90,3114,541801,4950,4950,1366733,32,64,12215,16,61,10569,74,2848,496808
201604,13,3,5,Georgia,3441,3441,750988,7,14,1759,1,4,245,12,923,77627,2871,2871,633352,5,10,1482,1,4,245,6,841,71262
201604,15,4,9,Hawaii,217,217,93926,2,4,2770,0,0,0,1,88,21500,96,96,36012,1,2,441,0,0,0,1,88,21500
201604,16,4,8,Idaho,804,804,179396,6,12,1539,1,4,302,10,229,23129,719,719,163112,6,12,1539,0,0,0,8,208,21166
201604,17,2,3,Illinois,994,994,253332,14,28,4280,13,42,7404,27,247,29890,708,708,191462,11,22,3323,12,39,6549,18,172,23352
201604,18,2,3,Indiana,1359,1359,317216,7,14,1704,5,20,2573,15,242,24804,1239,1239,291755,4,8,1020,5,20,2573,10,208,22243
201604,19,2,4,Iowa,748,748,162037,7,14,1911,11,33,5504,11,554,63558,644,644,141782,5,10,1609,10,30,5300,10,549,63097
201604,20,2,4,Kansas,456,456,116704,9,18,1472,5,20,2403,37,745,64615,277,277,66880,0,0,0,4,16,1767,30,630,53968
201604,21,3,6,Kentucky,749,749,140592,14,28,4017,5,16,1496,12,173,11197,463,463,89567,10,20,3415,1,3,324,4,50,2596
201604,22,3,7,Louisiana,1047,1047,215333,6,12,927,1,3,472,5,59,6599,591,591,124566,4,8,600,0,0,0,1,5,1500
201604,23,1,1,Maine,428,428,78314,5,10,1535,1,3,333,3,16,1534,257,257,45876,3,6,590,0,0,0,1,6,188
201604,24,3,5,Maryland,871,871,195706,3,6,636,1,4,503,12,471,34052,769,769,178084,2,4,427,1,4,503,11,404,23100
201604,25,1,1,Massachusetts,661,661,188260,31,62,7482,10,36,12255,17,379,71167,378,378,114695,26,52,5980,8,29,11276,5,298,59233
201604,26,2,3,Michigan,1300,1300,309047,25,50,5507,4,14,1686,98,1188,85865,899,899,225236,6,12,1102,2,8,1252,55,644,53761
