observation_date,SDICLAIMS
2001-01-06,521
2001-01-13,738
2001-01-20,526
2001-01-27,422
2001-02-03,479
2001-02-10,448
2001-02-17,522
2001-02-24,383
2001-03-03,585
2001-03-10,447
2001-03-17,356
2001-03-24,469
2001-03-31,332
2001-04-07,422
2001-04-14,276
2001-04-21,318
2001-04-28,337
2001-05-05,289
2001-05-12,293
2001-05-19,418
2001-05-26,397
2001-06-02,411
2001-06-09,412
2001-06-16,291
2001-06-23,275
2001-06-30,275
2001-07-07,388
2001-07-14,287
2001-07-21,277
2001-07-28,250
2001-08-04,266
2001-08-11,246
2001-08-18,258
2001-08-25,248
2001-09-01,258
2001-09-08,254
2001-09-15,239
2001-09-22,296
2001-09-29,358
2001-10-06,347
2001-10-13,423
2001-10-20,435
2001-10-27,476
2001-11-03,587
2001-11-10,519
2001-11-17,472
2001-11-24,500
2001-12-01,1141
2001-12-08,802
2001-12-15,639
2001-12-22,764
2001-12-29,762
2002-01-05,691
2002-01-12,909
2002-01-19,609
2002-01-26,523
2002-02-02,672
2002-02-09,581
2002-02-16,384
2002-02-23,360
2002-03-02,510
2002-03-09,434
2002-03-16,457
2002-03-23,756
2002-03-30,502
2002-04-06,406
2002-04-13,424
2002-04-20,324
2002-04-27,278
2002-05-04,324
2002-05-11,311
2002-05-18,414
2002-05-25,376
2002-06-01,468
2002-06-08,463
2002-06-15,373
2002-06-22,324
2002-06-29,327
2002-07-06,355
2002-07-13,504
2002-07-20,339
2002-07-27,316
2002-08-03,315
2002-08-10,267
2002-08-17,308
2002-08-24,301
2002-08-31,276
2002-09-07,280
2002-09-14,310
2002-09-21,337
2002-09-28,324
2002-10-05,368
2002-10-12,393
2002-10-19,330
2002-10-26,503
2002-11-02,581
2002-11-09,530
2002-11-16,444
2002-11-23,539
2002-11-30,516
2002-12-07,847
2002-12-14,691
2002-12-21,743
2002-12-28,897
2003-01-04,665
2003-01-11,992
2003-01-18,734
2003-01-25,600
2003-02-01,542
2003-02-08,522
2003-02-15,440
2003-02-22,371
2003-03-01,445
2003-03-08,503
2003-03-15,405
2003-03-22,384
2003-03-29,518
2003-04-05,340
2003-04-12,405
2003-04-19,382
2003-04-26,375
2003-05-03,345
2003-05-10,423
2003-05-17,458
