Series ID,Year,Period,Label,Value
SMS46000000000000001,1990,M01,1990 Jan,283.4
SMS46000000000000001,1990,M02,1990 Feb,284.1
SMS46000000000000001,1990,M03,1990 Mar,285.6
SMS46000000000000001,1990,M04,1990 Apr,286.4
SMS46000000000000001,1990,M05,1990 May,287.7
SMS46000000000000001,1990,M06,1990 Jun,287.5
SMS46000000000000001,1990,M07,1990 Jul,290.1
SMS46000000000000001,1990,M08,1990 Aug,289.5
SMS46000000000000001,1990,M09,1990 Sep,289.8
SMS46000000000000001,1990,M10,1990 Oct,290.7
SMS46000000000000001,1990,M11,1990 Nov,291.6
SMS46000000000000001,1990,M12,1990 Dec,292.2
SMS46000000000000001,1991,M01,1991 Jan,292.1
SMS46000000000000001,1991,M02,1991 Feb,293.1
SMS46000000000000001,1991,M03,1991 Mar,293.4
SMS46000000000000001,1991,M04,1991 Apr,294.5
SMS46000000000000001,1991,M05,1991 May,295.2
SMS46000000000000001,1991,M06,1991 Jun,295.1
SMS46000000000000001,1991,M07,1991 Jul,297.3
SMS46000000000000001,1991,M08,1991 Aug,296.6
SMS46000000000000001,1991,M09,1991 Sep,296.7
SMS46000000000000001,1991,M10,1991 Oct,297.2
SMS46000000000000001,1991,M11,1991 Nov,298.3
SMS46000000000000001,1991,M12,1991 Dec,299.6
SMS46000000000000001,1992,M01,1992 Jan,302.9
SMS46000000000000001,1992,M02,1992 Feb,304.3
SMS46000000000000001,1992,M03,1992 Mar,304.2
SMS46000000000000001,1992,M04,1992 Apr,305.5
SMS46000000000000001,1992,M05,1992 May,306.8
SMS46000000000000001,1992,M06,1992 Jun,307.9
SMS46000000000000001,1992,M07,1992 Jul,308.1
SMS46000000000000001,1992,M08,1992 Aug,309.5
SMS46000000000000001,1992,M09,1992 Sep,309.1
SMS46000000000000001,1992,M10,1992 Oct,309.9
SMS46000000000000001,1992,M11,1992 Nov,311.0
SMS46000000000000001,1992,M12,1992 Dec,311.3
SMS46000000000000001,1993,M01,1993 Jan,311.2
SMS46000000000000001,1993,M02,1993 Feb,312.6
SMS46000000000000001,1993,M03,1993 Mar,313.2
