Series ID,Year,Period,Label,Value
LASST460000000000003,2005,M01,2005 Jan,3.7
LASST460000000000003,2005,M02,2005 Feb,3.7
LASST460000000000003,2005,M03,2005 Mar,3.7
LASST460000000000003,2005,M04,2005 Apr,3.7
LASST460000000000003,2005,M05,2005 May,3.6
LASST460000000000003,2005,M06,2005 Jun,3.5
LASST460000000000003,2005,M07,2005 Jul,3.5
LASST460000000000003,2005,M08,2005 Aug,3.4
LASST460000000000003,2005,M09,2005 Sep,3.4
LASST460000000000003,2005,M10,2005 Oct,3.4
LASST460000000000003,2005,M11,2005 Nov,3.3
LASST460000000000003,2005,M12,2005 Dec,3.3
LASST460000000000003,2006,M01,2006 Jan,3.2
LASST460000000000003,2006,M02,2006 Feb,3.0
LASST460000000000003,2006,M03,2006 Mar,3.0
LASST460000000000003,2006,M04,2006 Apr,2.9
LASST460000000000003,2006,M05,2006 May,2.9
LASST460000000000003,2006,M06,2006 Jun,3.0
LASST460000000000003,2006,M07,2006 Jul,3.0
LASST460000000000003,2006,M08,2006 Aug,3.0
LASST460000000000003,2006,M09,2006 Sep,3.1
LASST460000000000003,2006,M10,2006 Oct,3.0
LASST460000000000003,2006,M11,2006 Nov,3.0
LASST460000000000003,2006,M12,2006 Dec,3.0
LASST460000000000003,2007,M01,2007 Jan,2.9
LASST460000000000003,2007,M02,2007 Feb,2.9
LASST460000000000003,2007,M03,2007 Mar,2.9
LASST460000000000003,2007,M04,2007 Apr,2.8
LASST460000000000003,2007,M05,2007 May,2.8
LASST460000000000003,2007,M06,2007 Jun,2.8
LASST460000000000003,2007,M07,2007 Jul,2.9
LASST460000000000003,2007,M08,2007 Aug,2.9
LASST460000000000003,2007,M09,2007 Sep,2.9
LASST460000000000003,2007,M10,2007 Oct,2.9
LASST460000000000003,2007,M11,2007 Nov,2.8
LASST460000000000003,2007,M12,2007 Dec,2.7
LASST460000000000003,2008,M01,2008 Jan,2.6
LASST460000000000003,2008,M02,2008 Feb,2.6
LASST460000000000003,2008,M03,2008 Mar,2.6
LASST460000000000003,2008,M04,2008 Apr,2.7
LASST460000000000003,2008,M05,2008 May,2.8
LASST460000000000003,2008,M06,2008 Jun,2.9
LASST460000000000003,2008,M07,2008 Jul,3.1
LASST460000000000003,2008,M08,2008 Aug,3.2
LASST460000000000003,2008,M09,2008 Sep,3.3
LASST460000000000003,2008,M10,2008 Oct,3.5
LASST460000000000003,2008,M11,2008 Nov,3.7
LASST460000000000003,2008,M12,2008 Dec,3.9
LASST460000000000003,2009,M01,2009 Jan,4.2
LASST460000000000003,2009,M02,2009 Feb,4.4
LASST460000000000003,2009,M03,2009 Mar,4.6
LASST460000000000003,2009,M04,2009 Apr,4.7
LASST460000000000003,2009,M05,2009 May,4.8
LASST460000000000003,2009,M06,2009 Jun,4.7
LASST460000000000003,2009,M07,2009 Jul,4.7
LASST460000000000003,2009,M08,2009 Aug,4.6
LASST460000000000003,2009,M09,2009 Sep,4.6
LASST460000000000003,2009,M10,2009 Oct,4.6
LASST460000000000003,2009,M11,2009 Nov,4.6
LASST460000000000003,2009,M12,2009 Dec,4.7
LASST460000000000003,2010,M01,2010 Jan,4.8
LASST460000000000003,2010,M02,2010 Feb,4.8
LASST460000000000003,2010,M03,2010 Mar,4.9
LASST460000000000003,2010,M04,2010 Apr,4.9
LASST460000000000003,2010,M05,2010 May,4.9
LASST460000000000003,2010,M06,2010 Jun,4.9
LASST460000000000003,2010,M07,2010 Jul,4.8
LASST460000000000003,2010,M08,2010 Aug,4.8
LASST460000000000003,2010,M09,2010 Sep,4.8
LASST460000000000003,2010,M10,2010 Oct,4.9
LASST460000000000003,2010,M11,2010 Nov,4.9
LASST460000000000003,2010,M12,2010 Dec,4.9
LASST460000000000003,2011,M01,2011 Jan,4.9
LASST460000000000003,2011,M02,2011 Feb,4.9
LASST460000000000003,2011,M03,2011 Mar,4.8
LASST460000000000003,2011,M04,2011 Apr,4.7
LASST460000000000003,2011,M05,2011 May,4.6
LASST460000000000003,2011,M06,2011 Jun,4.5
LASST460000000000003,2011,M07,2011 Jul,4.5
LASST460000000000003,2011,M08,2011 Aug,4.5
LASST460000000000003,2011,M09,2011 Sep,4.4
LASST460000000000003,2011,M10,2011 Oct,4.4
LASST460000000000003,2011,M11,2011 Nov,4.3
LASST460000000000003,2011,M12,2011 Dec,4.2
LASST460000000000003,2012,M01,2012 Jan,4.1
LASST460000000000003,2012,M02,2012 Feb,4.1
LASST460000000000003,2012,M03,2012 Mar,4.0
LASST460000000000003,2012,M04,2012 Apr,4.0
LASST460000000000003,2012,M05,2012 May,4.0
LASST460000000000003,2012,M06,2012 Jun,4.1
LASST460000000000003,2012,M07,2012 Jul,4.1
LASST460000000000003,2012,M08,2012 Aug,4.0
LASST460000000000003,2012,M09,2012 Sep,4.0
LASST460000000000003,2012,M10,2012 Oct,4.0
LASST460000000000003,2012,M11,2012 Nov,3.9
LASST460000000000003,2012,M12,2012 Dec,3.9
LASST460000000000003,2013,M01,2013 Jan,3.9
LASST460000000000003,2013,M02,2013 Feb,3.8
LASST460000000000003,2013,M03,2013 Mar,3.8
LASST460000000000003,2013,M04,2013 Apr,3.8
LASST460000000000003,2013,M05,2013 May,3.8
LASST460000000000003,2013,M06,2013 Jun,3.7
LASST460000000000003,2013,M07,2013 Jul,3.7
LASST460000000000003,2013,M08,2013 Aug,3.7
