Series ID,Year,Period,Label,Value
SMS26000000000000001,1990,M01,1990 Jan,3904.8
SMS26000000000000001,1990,M02,1990 Feb,3942.4
SMS26000000000000001,1990,M03,1990 Mar,3962.6
SMS26000000000000001,1990,M04,1990 Apr,3963.4
SMS26000000000000001,1990,M05,1990 May,3967.5
SMS26000000000000001,1990,M06,1990 Jun,3975.1
SMS26000000000000001,1990,M07,1990 Jul,3976.4
SMS26000000000000001,1990,M08,1990 Aug,3965.9
SMS26000000000000001,1990,M09,1990 Sep,3950.0
SMS26000000000000001,1990,M10,1990 Oct,3938.9
SMS26000000000000001,1990,M11,1990 Nov,3916.0
SMS26000000000000001,1990,M12,1990 Dec,3916.4
SMS26000000000000001,1991,M01,1991 Jan,3908.4
SMS26000000000000001,1991,M02,1991 Feb,3887.2
SMS26000000000000001,1991,M03,1991 Mar,3876.0
SMS26000000000000001,1991,M04,1991 Apr,3872.4
SMS26000000000000001,1991,M05,1991 May,3877.1
SMS26000000000000001,1991,M06,1991 Jun,3877.9
SMS26000000000000001,1991,M07,1991 Jul,3888.1
SMS26000000000000001,1991,M08,1991 Aug,3877.4
SMS26000000000000001,1991,M09,1991 Sep,3887.0
SMS26000000000000001,1991,M10,1991 Oct,3896.0
SMS26000000000000001,1991,M11,1991 Nov,3898.3
SMS26000000000000001,1991,M12,1991 Dec,3895.6
SMS26000000000000001,1992,M01,1992 Jan,3880.2
SMS26000000000000001,1992,M02,1992 Feb,3892.8
SMS26000000000000001,1992,M03,1992 Mar,3898.5
SMS26000000000000001,1992,M04,1992 Apr,3906.8
SMS26000000000000001,1992,M05,1992 May,3915.6
SMS26000000000000001,1992,M06,1992 Jun,3925.1
SMS26000000000000001,1992,M07,1992 Jul,3932.8
SMS26000000000000001,1992,M08,1992 Aug,3930.8
SMS26000000000000001,1992,M09,1992 Sep,3926.1
SMS26000000000000001,1992,M10,1992 Oct,3935.5
SMS26000000000000001,1992,M11,1992 Nov,3943.3
SMS26000000000000001,1992,M12,1992 Dec,3948.1
SMS26000000000000001,1993,M01,1993 Jan,3966.6
SMS26000000000000001,1993,M02,1993 Feb,3968.1
SMS26000000000000001,1993,M03,1993 Mar,3966.8
SMS26000000000000001,1993,M04,1993 Apr,3977.4
SMS26000000000000001,1993,M05,1993 May,3985.6
SMS26000000000000001,1993,M06,1993 Jun,3989.5
SMS26000000000000001,1993,M07,1993 Jul,4005.0
SMS26000000000000001,1993,M08,1993 Aug,3988.2
SMS26000000000000001,1993,M09,1993 Sep,4009.5
SMS26000000000000001,1993,M10,1993 Oct,4038.3
SMS26000000000000001,1993,M11,1993 Nov,4045.2
SMS26000000000000001,1993,M12,1993 Dec,4059.6
SMS26000000000000001,1994,M01,1994 Jan,4079.9
SMS26000000000000001,1994,M02,1994 Feb,4082.3
SMS26000000000000001,1994,M03,1994 Mar,4100.2
SMS26000000000000001,1994,M04,1994 Apr,4106.6
SMS26000000000000001,1994,M05,1994 May,4118.2
SMS26000000000000001,1994,M06,1994 Jun,4129.5
SMS26000000000000001,1994,M07,1994 Jul,4153.1
