Series ID,Year,Period,Label,Value
SMS55000000000000001,1990,M01,1990 Jan,2268.7
SMS55000000000000001,1990,M02,1990 Feb,2278.6
SMS55000000000000001,1990,M03,1990 Mar,2280.1
SMS55000000000000001,1990,M04,1990 Apr,2289.1
SMS55000000000000001,1990,M05,1990 May,2291.7
SMS55000000000000001,1990,M06,1990 Jun,2297.9
SMS55000000000000001,1990,M07,1990 Jul,2297.5
SMS55000000000000001,1990,M08,1990 Aug,2297.6
SMS55000000000000001,1990,M09,1990 Sep,2301.9
SMS55000000000000001,1990,M10,1990 Oct,2300.3
SMS55000000000000001,1990,M11,1990 Nov,2300.4
SMS55000000000000001,1990,M12,1990 Dec,2297.8
SMS55000000000000001,1991,M01,1991 Jan,2295.3
SMS55000000000000001,1991,M02,1991 Feb,2295.4
SMS55000000000000001,1991,M03,1991 Mar,2295.5
SMS55000000000000001,1991,M04,1991 Apr,2295.7
SMS55000000000000001,1991,M05,1991 May,2294.3
SMS55000000000000001,1991,M06,1991 Jun,2300.7
SMS55000000000000001,1991,M07,1991 Jul,2301.6
SMS55000000000000001,1991,M08,1991 Aug,2305.9
SMS55000000000000001,1991,M09,1991 Sep,2303.9
SMS55000000000000001,1991,M10,1991 Oct,2312.5
SMS55000000000000001,1991,M11,1991 Nov,2312.0
SMS55000000000000001,1991,M12,1991 Dec,2314.8
SMS55000000000000001,1992,M01,1992 Jan,2331.7
SMS55000000000000001,1992,M02,1992 Feb,2330.7
SMS55000000000000001,1992,M03,1992 Mar,2331.2
SMS55000000000000001,1992,M04,1992 Apr,2350.4
SMS55000000000000001,1992,M05,1992 May,2357.8
SMS55000000000000001,1992,M06,1992 Jun,2357.0
SMS55000000000000001,1992,M07,1992 Jul,2361.9
SMS55000000000000001,1992,M08,1992 Aug,2365.0
SMS55000000000000001,1992,M09,1992 Sep,2369.0
SMS55000000000000001,1992,M10,1992 Oct,2372.9
SMS55000000000000001,1992,M11,1992 Nov,2377.7
SMS55000000000000001,1992,M12,1992 Dec,2381.0
SMS55000000000000001,1993,M01,1993 Jan,2388.0
SMS55000000000000001,1993,M02,1993 Feb,2395.6
SMS55000000000000001,1993,M03,1993 Mar,2397.8
SMS55000000000000001,1993,M04,1993 Apr,2393.0
SMS55000000000000001,1993,M05,1993 May,2408.0
SMS55000000000000001,1993,M06,1993 Jun,2406.7
SMS55000000000000001,1993,M07,1993 Jul,2410.7
SMS55000000000000001,1993,M08,1993 Aug,2416.3
SMS55000000000000001,1993,M09,1993 Sep,2419.5
SMS55000000000000001,1993,M10,1993 Oct,2432.5
SMS55000000000000001,1993,M11,1993 Nov,2433.3
SMS55000000000000001,1993,M12,1993 Dec,2442.4
SMS55000000000000001,1994,M01,1994 Jan,2447.0
SMS55000000000000001,1994,M02,1994 Feb,2452.5
SMS55000000000000001,1994,M03,1994 Mar,2463.7
