Series ID,Year,Period,Label,Value
SMS55000000000000001,2005,M01,2005 Jan,2818.3
SMS55000000000000001,2005,M02,2005 Feb,2825.0
SMS55000000000000001,2005,M03,2005 Mar,2827.7
SMS55000000000000001,2005,M04,2005 Apr,2836.7
SMS55000000000000001,2005,M05,2005 May,2831.0
SMS55000000000000001,2005,M06,2005 Jun,2828.3
SMS55000000000000001,2005,M07,2005 Jul,2837.0
SMS55000000000000001,2005,M08,2005 Aug,2839.5
SMS55000000000000001,2005,M09,2005 Sep,2847.0
SMS55000000000000001,2005,M10,2005 Oct,2842.7
SMS55000000000000001,2005,M11,2005 Nov,2845.5
SMS55000000000000001,2005,M12,2005 Dec,2850.6
SMS55000000000000001,2006,M01,2006 Jan,2849.2
SMS55000000000000001,2006,M02,2006 Feb,2852.7
SMS55000000000000001,2006,M03,2006 Mar,2855.2
SMS55000000000000001,2006,M04,2006 Apr,2861.4
SMS55000000000000001,2006,M05,2006 May,2855.1
SMS55000000000000001,2006,M06,2006 Jun,2863.2
SMS55000000000000001,2006,M07,2006 Jul,2860.0
SMS55000000000000001,2006,M08,2006 Aug,2861.1
SMS55000000000000001,2006,M09,2006 Sep,2865.0
SMS55000000000000001,2006,M10,2006 Oct,2862.2
SMS55000000000000001,2006,M11,2006 Nov,2863.4
SMS55000000000000001,2006,M12,2006 Dec,2865.6
SMS55000000000000001,2007,M01,2007 Jan,2870.2
SMS55000000000000001,2007,M02,2007 Feb,2868.7
SMS55000000000000001,2007,M03,2007 Mar,2873.3
SMS55000000000000001,2007,M04,2007 Apr,2872.8
SMS55000000000000001,2007,M05,2007 May,2878.6
SMS55000000000000001,2007,M06,2007 Jun,2888.2
SMS55000000000000001,2007,M07,2007 Jul,2880.3
SMS55000000000000001,2007,M08,2007 Aug,2879.5
SMS55000000000000001,2007,M09,2007 Sep,2879.2
SMS55000000000000001,2007,M10,2007 Oct,2873.0
SMS55000000000000001,2007,M11,2007 Nov,2873.7
SMS55000000000000001,2007,M12,2007 Dec,2877.8
SMS55000000000000001,2008,M01,2008 Jan,2882.4
SMS55000000000000001,2008,M02,2008 Feb,2882.6
SMS55000000000000001,2008,M03,2008 Mar,2878.9
SMS55000000000000001,2008,M04,2008 Apr,2874.3
SMS55000000000000001,2008,M05,2008 May,2876.1
SMS55000000000000001,2008,M06,2008 Jun,2873.7
SMS55000000000000001,2008,M07,2008 Jul,2872.6
SMS55000000000000001,2008,M08,2008 Aug,2867.6
SMS55000000000000001,2008,M09,2008 Sep,2871.7
SMS55000000000000001,2008,M10,2008 Oct,2859.6
SMS55000000000000001,2008,M11,2008 Nov,2849.2
SMS55000000000000001,2008,M12,2008 Dec,2834.5
SMS55000000000000001,2009,M01,2009 Jan,2808.2
SMS55000000000000001,2009,M02,2009 Feb,2791.5
SMS55000000000000001,2009,M03,2009 Mar,2772.6
SMS55000000000000001,2009,M04,2009 Apr,2749.9
SMS55000000000000001,2009,M05,2009 May,2746.7
SMS55000000000000001,2009,M06,2009 Jun,2734.6
SMS55000000000000001,2009,M07,2009 Jul,2723.3
SMS55000000000000001,2009,M08,2009 Aug,2715.5
SMS55000000000000001,2009,M09,2009 Sep,2713.8
SMS55000000000000001,2009,M10,2009 Oct,2715.3
SMS55000000000000001,2009,M11,2009 Nov,2711.2
